234.979259,-1.296733,1,1,9,2,3,0,1
175.704725,-1.348398,1,1,9,3,4,3,1
52.36569,-0.493577,1,1,9,4,5,6,1
64.564916,2.226558,1,1,9,5,6,9,1
114.448195,1.759221,1,1,9,6,7,12,1
20.768758,-1.340409,1,1,9,7,8,15,1
11.133322,2.353948,1,1,9,10,11,18,1
166.461271,-1.195006,1,1,9,11,12,21,1
60.134101,2.319269,1,1,9,12,13,24,1
95.208377,1.738032,1,1,9,13,14,27,1
37.739212,2.130749,1,1,9,14,15,30,1
315.665037,-1.308124,1,1,9,15,16,33,1
309.014482,-1.271239,1,2,10,3,4,36,1
75.50675,-0.364199,1,2,10,4,5,39,1
99.890818,2.295615,1,2,10,5,6,42,1
176.738305,1.837962,1,2,10,6,7,45,1
32.209231,-1.302119,1,2,10,7,8,48,1
95.215758,1.966203,1,2,10,8,9,51,1
243.592673,-1.139554,1,2,10,11,12,54,1
91.796496,2.38767,1,2,10,12,13,57,1
140.717456,1.805906,1,2,10,13,14,60,1
55.527991,2.191502,1,2,10,14,15,63,1
484.447818,-1.237783,1,2,10,15,16,66,1
233.426148,1.705748,1,2,10,16,1,69,1
65.77544,1.985075,1,3,11,1,2,72,1
111.460311,-0.691288,1,3,11,4,5,75,1
96.134376,2.32084,1,3,11,5,6,78,1
175.311616,1.863137,1,3,11,6,7,81,1
32.078117,-1.275038,1,3,11,7,8,84,1
101.386093,2.030596,1,3,11,8,9,87,1
26.123777,-0.645763,1,3,11,9,10,90,1
113.979737,2.35665,1,3,11,12,13,93,1
141.606589,1.838047,1,3,11,13,14,96,1
55.421823,2.221391,1,3,11,14,15,99,1
274.205393,2.514321,1,3,11,15,16,102,1
19.433224,0.435596,1,3,11,16,1,105,1
395.395008,1.864362,1,4,12,1,2,108,1
510.410788,1.770256,1,4,12,2,3,111,1
164.064166,2.731798,1,4,12,5,6,114,1
593.191501,1.722134,1,4,12,6,7,117,1
107.340461,-1.462386,1,4,12,7,8,120,1
357.956114,1.924666,1,4,12,8,9,123,1
46.890667,-0.916816,1,4,12,9,10,126,1
9.02105,-0.128269,1,4,12,10,11,129,1
549.768861,1.689957,1,4,12,13,14,132,1
186.679742,2.054467,1,4,12,14,15,135,1
909.934168,1.928414,1,4,12,15,16,138,1
84.601293,-0.04871,1,4,12,16,1,141,1
805.619078,1.722897,1,5,13,1,2,144,1
355.233662,1.641013,1,5,13,2,3,147,1
454.793242,-1.706206,1,5,13,3,4,150,1
273.526514,1.354325,1,5,13,6,7,153,1
87.195792,-1.524612,1,5,13,7,8,156,1
275.652689,1.79927,1,5,13,8,9,159,1
35.149378,-1.018929,1,5,13,9,10,162,1
10.291207,1.311661,1,5,13,10,11,165,1
744.210188,-1.345031,1,5,13,11,12,168,1
169.627933,1.938051,1,5,13,14,15,171,1
371.592497,-3.009775,1,5,13,15,16,174,1
61.99065,-0.237062,1,5,13,16,1,177,1
385.080394,1.962789,1,6,14,1,2,180,1
171.757399,1.877297,1,6,14,2,3,183,1
330.338628,-1.310704,1,6,14,3,4,186,1
149.091155,1.39238,1,6,14,4,5,189,1
97.81642,-1.182382,1,6,14,7,8,192,1
127.528447,2.0158,1,6,14,8,9,195,1
18.391215,-0.757503,1,6,14,9,10,198,1
4.902778,1.384689,1,6,14,10,11,201,1
331.367739,-1.104212,1,6,14,11,12,204,1
86.998363,2.512168,1,6,14,12,13,207,1
626.561172,-1.246586,1,6,14,15,16,210,1
28.167294,0.21768,1,6,14,16,1,213,1
184.557402,1.961457,1,7,15,1,2,216,1
82.706914,1.885924,1,7,15,2,3,219,1
165.587232,-1.313452,1,7,15,3,4,222,1
36.443492,-0.183655,1,7,15,4,5,225,1
112.529399,2.191336,1,7,15,5,6,228,1
33.689133,1.745565,1,7,15,8,9,231,1
10.184612,-0.66949,1,7,15,9,10,234,1
2.781882,0.889672,1,7,15,10,11,237,1
158.414129,-1.098285,1,7,15,11,12,240,1
50.729154,2.353771,1,7,15,12,13,243,1
78.878395,1.701407,1,7,15,13,14,246,1
34.947614,1.55045,1,7,15,16,1,249,1
426.78897,-0.775325,1,8,16,1,2,252,1
709.53958,1.635033,1,8,16,2,3,255,1
706.695558,2.359256,1,8,16,3,4,2,1
388.960003,-0.493756,1,8,16,4,5,5,1
594.697336,2.0676,1,8,16,5,6,8,1
221.897811,0.262295,1,8,16,6,7,11,1
69.468768,-1.015406,1,8,16,9,10,14,1
23.152437,1.489912,1,8,16,10,11,17,1
565.301915,1.999587,1,8,16,11,12,20,1
475.254034,2.148636,1,8,16,12,13,23,1
745.873371,1.560455,1,8,16,13,14,26,1
265.614594,1.94266,1,8,16,14,15,29,1
700.063983,-1.041991,1,9,1,2,3,32,1
592.695507,-0.830906,1,9,1,3,4,35,1
413.401721,-0.453293,1,9,1,4,5,38,1
631.078577,2.100978,1,9,1,5,6,41,1
609.512369,-0.919956,1,9,1,6,7,44,1
172.159329,-1.578181,1,9,1,7,8,47,1
21.173714,1.108431,1,9,1,10,11,50,1
281.988261,-1.310594,1,9,1,11,12,53,1
499.806004,2.183772,1,9,1,12,13,56,1
205.785369,0.254713,1,9,1,13,14,59,1
299.258664,1.969235,1,9,1,14,15,62,1
