BIOZ1_MAG,BIOZ1_PHASE,EXC_FREQ_KHZ,EXC_PIN,GND_PIN,SNS_AP_PIN,SNS_AN_PIN,PACKET_NUMBER
3.69283,-0.032879,10,1,9,2,3,231
2.345101,-0.054395,10,1,9,3,4,234
1.764495,-0.008366,10,1,9,4,5,237
2.410807,0.028624,10,1,9,5,6,239
3.61913,0.0493,10,1,9,6,7,242
6.986238,-0.121074,10,1,9,7,8,245
4.781381,3.090827,10,1,9,10,11,249
3.185029,3.106574,10,1,9,11,12,251
2.406423,3.040715,10,1,9,12,13,254
2.27905,3.110895,10,1,9,13,14,1
2.372253,3.017231,10,1,9,14,15,4
5.249782,-2.964638,10,1,9,15,16,7
3.845365,-0.050891,10,2,10,3,4,11
2.029498,-0.018057,10,2,10,4,5,13
2.145893,0.04232,10,2,10,5,6,16
2.697371,0.094572,10,2,10,6,7,19
4.041997,-0.181805,10,2,10,7,8,22
5.476572,-0.003698,10,2,10,8,9,25
4.639174,3.101578,10,2,10,11,12,29
2.746221,3.04543,10,2,10,12,13,31
2.249364,3.113071,10,2,10,13,14,34
1.971251,2.993748,10,2,10,14,15,37
3.733261,-2.877559,10,2,10,15,16,40
3.660976,2.977114,10,2,10,16,1,43
3.735703,2.988352,10,3,11,1,2,46
3.402358,-0.018946,10,3,11,4,5,50
2.467887,0.023468,10,3,11,5,6,53
2.511387,0.092131,10,3,11,6,7,55
3.131252,-0.21602,10,3,11,7,8,58
4.081293,0.010473,10,3,11,8,9,61
3.93376,-0.027441,10,3,11,9,10,64
4.096456,3.060455,10,3,11,12,13,68
2.619163,3.106762,10,3,11,13,14,70
1.940704,2.979351,10,3,11,14,15,73
3.34648,-2.844944,10,3,11,15,16,76
2.209615,2.882407,10,3,11,16,1,79
2.175337,2.921953,10,4,12,1,2,82
4.038992,3.095031,10,4,12,2,3,85
4.160921,-0.00081,10,4,12,5,6,89
2.752635,0.088557,10,4,12,6,7,92
2.91028,-0.222969,10,4,12,7,8,94
3.665431,0.01729,10,4,12,8,9,97
2.628314,-0.012812,10,4,12,9,10,100
3.483007,-0.031622,10,4,12,10,11,103
4.164562,3.104814,10,4,12,13,14,107
2.326052,3.012162,10,4,12,14,15,109
3.397762,-2.853175,10,4,12,15,16,112
1.921115,2.841695,10,4,12,16,1,115
1.782615,2.874889,10,5,13,1,2,118
2.642812,3.094107,10,5,13,2,3,121
4.555092,3.11094,10,5,13,3,4,124
3.783963,0.050503,10,5,13,6,7,128
3.173702,-0.211081,10,5,13,7,8,131
3.722825,0.014101,10,5,13,8,9,133
2.36275,-0.004915,10,5,13,9,10,136
2.157125,-0.035237,10,5,13,10,11,139
3.752418,-0.055073,10,5,13,11,12,142
3.868114,3.04795,10,5,13,14,15,146
3.837935,-2.891073,10,5,13,15,16,148
1.979449,2.844956,10,5,13,16,1,151
1.826191,2.884446,10,6,14,1,2,154
2.227836,3.094501,10,6,14,2,3,157
2.877645,3.118149,10,6,14,3,4,160
3.948928,3.090752,10,6,14,4,5,163
4.588789,-0.154277,10,6,14,7,8,167
4.588516,0.007216,10,6,14,8,9,170
2.605413,0.000242,10,6,14,9,10,172
1.845784,-0.032788,10,6,14,10,11,175
2.402534,-0.057678,10,6,14,11,12,178
3.989355,-0.011169,10,6,14,12,13,181
5.394143,-2.978037,10,6,14,15,16,185
2.326824,2.885731,10,6,14,16,1,187
2.235242,2.922611,10,7,15,1,2,190
2.253894,3.079758,10,7,15,2,3,193
2.445826,3.11804,10,7,15,3,4,196
2.598702,3.090876,10,7,15,4,5,199
4.649748,3.069373,10,7,15,5,6,202
7.26582,-0.009487,10,7,15,8,9,206
3.552405,-0.017908,10,7,15,9,10,209
2.088065,-0.02282,10,7,15,10,11,211
2.137164,-0.054592,10,7,15,11,12,214
2.433492,0.014239,10,7,15,12,13,217
3.879486,-0.044284,10,7,15,13,14,220
3.73492,2.972612,10,7,15,16,1,224
3.679106,2.988771,10,8,16,1,2,226
2.466298,3.092374,10,8,16,2,3,229
2.238299,3.120494,10,8,16,3,4,232
2.079419,3.090726,10,8,16,4,5,235
3.104648,3.053284,10,8,16,5,6,238
5.657708,3.045217,10,8,16,6,7,241
6.680696,-0.024628,10,8,16,9,10,245
3.161489,-0.024465,10,8,16,10,11,248
2.55342,-0.053995,10,8,16,11,12,250
2.301214,0.01977,10,8,16,12,13,253
2.553019,-0.05394,10,8,16,13,14,0
4.174833,0.013149,10,8,16,14,15,3
3.740603,3.090945,10,9,1,2,3,7
2.353105,3.112107,10,9,1,3,4,10
1.687927,3.071151,10,9,1,4,5,13
2.09219,3.019245,10,9,1,5,6,15
2.898428,2.994566,10,9,1,6,7,18
8.049481,-3.109611,10,9,1,7,8,21
4.938464,-0.037223,10,9,1,10,11,25
3.117487,-0.05074,10,9,1,11,12,28
2.548027,0.004741,10,9,1,12,13,30
2.377969,-0.04382,10,9,1,13,14,33
2.745216,0.034144,10,9,1,14,15,36
3.102302,-0.412333,10,9,1,15,16,39
3.898532,3.107982,10,10,2,3,4,43
1.953346,3.069652,10,10,2,4,5,45
1.825482,3.01352,10,10,2,5,6,48
1.969153,2.93404,10,10,2,6,7,51
5.025221,-3.067988,10,10,2,7,8,54
4.9712,3.067481,10,10,2,8,9,57
4.604445,-0.045298,10,10,2,11,12,61
2.996684,0.004758,10,10,2,12,13,64
2.34389,-0.054342,10,10,2,13,14,66
2.36606,0.058374,10,10,2,14,15,69
1.779118,-0.730104,10,10,2,15,16,72
4.376481,0.065361,10,10,2,16,1,75
4.57914,0.043818,10,11,3,1,2,78
3.278619,3.088447,10,11,3,4,5,82
2.181255,3.029987,10,11,3,5,6,84
1.763812,2.915735,10,11,3,6,7,87
4.165075,-3.048106,10,11,3,7,8,90
3.517476,3.057822,10,11,3,8,9,93
3.76475,3.082068,10,11,3,9,10,96
4.426151,-0.005612,10,11,3,12,13,100
2.676347,-0.038264,10,11,3,13,14,103
2.330416,0.049338,10,11,3,14,15,105
1.501054,-0.894849,10,11,3,15,16,108
2.955319,0.11033,10,11,3,16,1,111
3.086483,0.087004,10,12,4,1,2,114
4.162873,-0.036771,10,12,4,2,3,117
3.782617,3.057905,10,12,4,5,6,121
1.99762,2.949009,10,12,4,6,7,123
3.958785,-3.040625,10,12,4,7,8,126
3.098749,3.043859,10,12,4,8,9,129
2.335799,3.06237,10,12,4,9,10,132
4.452671,3.034826,10,12,4,10,11,135
4.130129,-0.04273,10,12,4,13,14,139
2.743495,0.034123,10,12,4,14,15,142
1.500861,-0.894896,10,12,4,15,16,144
2.582485,0.143508,10,12,4,16,1,147
2.731644,0.101906,10,13,5,1,2,150
2.825211,-0.036019,10,13,5,2,3,153
4.511256,-0.048846,10,13,5,3,4,156
3.205346,2.99483,10,13,5,6,7,160
4.164077,-3.048107,10,13,5,7,8,162
