BIOZ1_MAG,BIOZ1_PHASE,EXC_FREQ_KHZ,EXC_PIN,GND_PIN,SNS_AP_PIN,SNS_AN_PIN,PACKET_NUMBER
4.176211,-0.035267,10,1,9,2,3,158
5.696999,-0.049635,10,1,9,3,4,161
2.093235,-0.013195,10,1,9,4,5,164
1.817531,0.00579,10,1,9,5,6,167
2.411149,0.111085,10,1,9,6,7,170
3.611768,-0.224993,10,1,9,7,8,173
3.904643,3.075313,10,1,9,10,11,176
2.531956,3.09205,10,1,9,11,12,179
2.098798,3.057015,10,1,9,12,13,182
2.247853,3.061792,10,1,9,13,14,185
2.375303,2.972783,10,1,9,14,15,188
4.880079,-3.02961,10,1,9,15,16,191
8.886415,-0.0457,10,2,10,3,4,194
3.060421,-0.028234,10,2,10,4,5,197
2.001846,-0.007488,10,2,10,5,6,200
2.056728,0.127097,10,2,10,6,7,203
2.042498,-0.375978,10,2,10,7,8,206
3.658575,-0.025776,10,2,10,8,9,209
4.097989,3.094662,10,2,10,11,12,212
2.490223,3.063633,10,2,10,12,13,215
2.304986,3.068374,10,2,10,13,14,218
2.08066,2.950482,10,2,10,14,15,221
3.373039,-2.96609,10,2,10,15,16,224
4.603356,3.100902,10,2,10,16,1,227
6.412073,3.047533,10,3,11,1,2,230
6.817705,-0.028412,10,3,11,4,5,233
3.109439,-0.005786,10,3,11,5,6,236
2.445571,0.100064,10,3,11,6,7,239
1.856818,-0.421305,10,3,11,7,8,242
2.245645,-0.013193,10,3,11,8,9,245
4.20232,0.058152,10,3,11,9,10,248
3.816862,3.077085,10,3,11,12,13,251
2.642017,3.067285,10,3,11,13,14,254
2.012239,2.920886,10,3,11,14,15,1
2.908021,-2.927097,10,3,11,15,16,4
3.190865,3.103079,10,3,11,16,1,7
2.598855,2.968358,10,4,12,1,2,10
7.792427,3.101848,10,4,12,2,3,13
6.179674,-0.026236,10,4,12,5,6,16
3.609526,0.053829,10,4,12,6,7,19
2.325198,-0.330257,10,4,12,7,8,22
2.209342,-0.002839,10,4,12,8,9,25
3.00109,0.105944,10,4,12,9,10,28
4.108184,-0.024405,10,4,12,10,11,31
3.813769,3.077077,10,4,12,13,14,34
1.972225,2.928745,10,4,12,14,15,37
2.38517,-2.871285,10,4,12,15,16,40
1.864599,3.103651,10,4,12,16,1,43
1.786487,2.920994,10,5,13,1,2,46
4.118312,3.103339,10,5,13,2,3,49
7.959891,3.1068,10,5,13,3,4,52
4.80141,0.037143,10,5,13,6,7,55
2.557875,-0.305137,10,5,13,7,8,58
2.150772,-0.007847,10,5,13,8,9,61
2.617775,0.105711,10,5,13,9,10,64
2.725856,-0.021541,10,5,13,10,11,67
4.083975,-0.032948,10,5,13,11,12,70
3.411972,2.993286,10,5,13,14,15,73
2.641355,-2.912901,10,5,13,15,16,76
1.714216,3.101596,10,5,13,16,1,79
1.640346,2.902107,10,6,14,1,2,82
2.980581,3.097445,10,6,14,2,3,85
5.371193,3.111197,10,6,14,3,4,88
3.200391,3.085167,10,6,14,4,5,91
3.850388,-0.214783,10,6,14,7,8,94
2.507293,-0.004075,10,6,14,8,9,97
2.555324,0.126701,10,6,14,9,10,100
2.300326,-0.008287,10,6,14,10,11,103
2.610859,-0.030886,10,6,14,11,12,106
4.035987,-0.013192,10,6,14,12,13,109
4.317306,-3.018591,10,6,14,15,16,112
2.048015,3.094669,10,6,14,16,1,115
1.917264,2.916869,10,7,15,1,2,118
2.646052,3.102354,10,7,15,2,3,121
4.58911,3.113344,10,7,15,3,4,124
1.9343,3.080852,10,7,15,4,5,127
3.164653,3.092033,10,7,15,5,6,130
4.014099,-0.02179,10,7,15,8,9,133
2.941472,0.104408,10,7,15,9,10,136
2.3002,-0.008249,10,7,15,10,11,139
2.219896,-0.0287,10,7,15,11,12,142
2.564739,0.000332,10,7,15,12,13,145
4.290536,-0.029279,10,7,15,13,14,148
3.48563,3.105337,10,7,15,16,1,151
3.13391,2.99223,10,8,16,1,2,154
2.887522,3.100537,10,8,16,2,3,157
4.681542,3.111146,10,8,16,3,4,160
1.784908,3.076814,10,8,16,4,5,163
1.949174,3.051646,10,8,16,5,6,166
3.411902,2.993139,10,8,16,6,7,169
