BIOZ1_MAG,BIOZ1_PHASE,EXC_FREQ_KHZ,EXC_PIN,GND_PIN,SNS_AP_PIN,SNS_AN_PIN,PACKET_NUMBER
4.012916,3.06633,10,11,3,4,5,58
2.658899,3.068234,10,11,3,5,6,68
2.099218,3.020378,10,11,3,6,7,78
2.179141,3.032459,10,11,3,7,8,88
2.581688,-3.021277,10,11,3,8,9,98
4.495867,2.977011,10,11,3,9,10,108
4.019992,-0.017183,10,11,3,12,13,118
2.573384,-0.024803,10,11,3,13,14,128
1.928557,0.010249,10,11,3,14,15,138
2.046471,0.049553,10,11,3,15,16,148
2.374284,-0.204828,10,11,3,16,1,158
2.325412,0.13049,10,12,4,1,2,168
3.952274,-0.05963,10,12,4,2,3,178
4.421771,3.081961,10,12,4,5,6,188
2.595994,3.035537,10,12,4,6,7,198
2.207795,3.030489,10,12,4,7,8,208
2.172485,-2.99187,10,12,4,8,9,218
2.663191,2.895925,10,12,4,9,10,228
4.073361,3.128203,10,12,4,10,11,238
4.148092,-0.024781,10,12,4,13,14,248
2.312226,0.020544,10,12,4,14,15,2
2.033891,0.053759,10,12,4,15,16,12
2.054844,-0.23117,10,12,4,16,1,22
2.04743,0.145248,10,13,5,1,2,32
2.531572,-0.073417,10,13,5,2,3,42
4.266996,-0.008826,10,13,5,3,4,52
4.099962,3.055696,10,13,5,6,7,62
2.557342,3.03631,10,13,5,7,8,72
2.152294,-2.984381,10,13,5,8,9,82
2.16127,2.859382,10,13,5,9,10,92
2.450798,-0.00252,10,13,5,10,11,102
4.188568,3.067359,10,13,5,11,12,112
3.91243,-0.006582,10,13,5,14,15,122
2.450984,0.025879,10,13,5,15,16,132
2.060142,-0.225068,10,13,5,16,1,142
2.007385,0.150344,10,14,6,1,2,152
2.017226,-0.091889,10,14,6,2,3,162
2.477554,0.016658,10,14,6,3,4,172
3.792672,-0.022881,10,14,6,4,5,182
4.243669,3.058446,10,14,6,7,8,192
2.551478,-3.021123,10,14,6,8,9,202
2.197031,2.863809,10,14,6,9,10,212
2.025794,-3.119839,10,14,6,10,11,222
2.463958,3.039487,10,14,6,11,12,232
4.19539,3.061062,10,14,6,12,13,242
3.972456,0.006724,10,14,6,15,16,252
2.375528,-0.196863,10,14,6,16,1,6
2.3338,0.12609,10,15,7,1,2,16
2.059099,-0.091162,10,15,7,2,3,26
2.014315,0.032912,10,15,7,3,4,36
2.29071,-0.00228,10,15,7,4,5,46
3.967528,-0.024466,10,15,7,5,6,56
4.019139,-3.073049,10,15,7,8,9,65
2.718571,2.900322,10,15,7,9,10,76
1.996837,-3.111012,10,15,7,10,11,86
2.135683,3.027374,10,15,7,11,12,96
2.461126,3.043824,10,15,7,12,13,106
4.354361,3.07318,10,15,7,13,14,116
4.043682,-0.149866,10,15,7,16,1,126
3.901849,0.072467,10,16,8,1,2,136
2.483097,-0.082059,10,16,8,2,3,146
2.000697,0.034509,10,16,8,3,4,156
1.900098,0.004767,10,16,8,4,5,166
2.44184,-0.031677,10,16,8,5,6,176
3.803469,0.00297,10,16,8,6,7,186
4.530863,2.964784,10,16,8,9,10,196
2.458431,-1.565442,10,16,8,10,11,206
2.144228,3.0265,10,16,8,11,12,216
2.060487,3.030635,10,16,8,12,13,226
2.876081,3.048795,10,16,8,13,14,236
4.131445,3.069753,10,16,8,14,15,246
