BIOZ1_MAG,BIOZ1_PHASE,EXC_FREQ_KHZ,EXC_PIN,GND_PIN,SNS_AP_PIN,SNS_AN_PIN,PACKET_NUMBER
2.246136,3.079288,10,12,4,9,10,121
3.998419,3.104614,10,12,4,10,11,123
3.915329,-0.035618,10,12,4,13,14,127
2.457881,-0.031691,10,12,4,14,15,130
0.711548,-0.216506,10,12,4,15,16,133
1.748007,-0.051755,10,12,4,16,1,135
2.670338,-0.005788,10,13,5,1,2,139
4.285782,-0.041072,10,13,5,2,3,142
7.988589,-0.04203,10,13,5,3,4,145
3.782388,3.075349,10,13,5,6,7,148
3.795141,3.130008,10,13,5,7,8,151
2.373867,3.112381,10,13,5,8,9,154
1.828314,3.065051,10,13,5,9,10,157
2.580967,3.10682,10,13,5,10,11,160
4.161933,3.102249,10,13,5,11,12,163
3.995801,-0.036846,10,13,5,14,15,165
1.039508,-0.139323,10,13,5,15,16,169
1.53969,-0.045356,10,13,5,16,1,172
2.501433,-0.016336,10,14,6,1,2,175
3.205418,-0.034553,10,14,6,2,3,178
5.367034,-0.04526,10,14,6,3,4,181
3.368724,-0.050048,10,14,6,4,5,184
5.168189,3.12266,10,14,6,7,8,187
2.62272,3.105589,10,14,6,8,9,190
1.828411,3.064912,10,14,6,9,10,193
2.20536,3.098732,10,14,6,10,11,195
2.705401,3.103719,10,14,6,11,12,199
3.788719,3.108027,10,14,6,12,13,202
2.617606,-0.083532,10,14,6,15,16,205
1.912832,-0.055953,10,14,6,16,1,208
2.753434,-0.008619,10,15,7,1,2,211
2.874475,-0.026948,10,15,7,2,3,214
4.577003,-0.044787,10,15,7,3,4,217
2.288487,-0.044853,10,15,7,4,5,220
3.330693,-0.036939,10,15,7,5,6,223
3.996832,3.104654,10,15,7,8,9,225
2.161917,3.080763,10,15,7,9,10,229
2.205666,3.098785,10,15,7,10,11,232
2.32968,3.095848,10,15,7,11,12,235
2.288184,3.096753,10,15,7,12,13,238
3.744756,3.097753,10,15,7,13,14,241
3.37172,-0.037694,10,15,7,16,1,244
4.125505,-0.018619,10,16,8,1,2,247
3.08068,-0.031853,10,16,8,2,3,250
4.661428,-0.036906,10,16,8,3,4,253
2.078603,-0.059346,10,16,8,4,5,255
1.956364,-0.035585,10,16,8,5,6,3
4.291387,-0.02181,10,16,8,6,7,6
3.742187,3.086683,10,16,8,9,10,9
2.580933,3.106688,10,16,8,10,11,12
