BIOZ1_MAG,BIOZ1_PHASE,EXC_FREQ_KHZ,EXC_PIN,GND_PIN,SNS_AP_PIN,SNS_AN_PIN,PACKET_NUMBER,FREQUENCY KHZ
1.86472,0.000756,1,1,9,2,3,44,1
1.842618,0.065423,1,1,9,3,4,54,1
1.176777,-0.007917,1,1,9,4,5,64,1
1.176742,-0.007862,1,1,9,5,6,74,1
1.352858,-0.001391,1,1,9,6,7,84,1
2.094185,-0.002832,1,1,9,7,8,94,1
1.794414,3.13452,1,1,9,10,11,104,1
1.23545,3.136069,1,1,9,11,12,114,1
1.099694,0.627418,1,1,9,12,13,124,1
1.118077,3.131088,1,1,9,13,14,134,1
1.059389,3.128145,1,1,9,14,15,144,1
1.877952,3.12422,1,1,9,15,16,154,1
3.220515,-0.012477,1,2,10,3,4,164,1
1.294165,-0.00341,1,2,10,4,5,174,1
1.076215,-0.011596,1,2,10,5,6,184,1
1.246764,-0.005459,1,2,10,6,7,194,1
1.328599,0.011443,1,2,10,7,8,204,1
1.911885,-0.003986,1,2,10,8,9,214,1
1.94279,3.123214,1,2,10,11,12,224,1
1.235423,3.136125,1,2,10,12,13,234,1
1.034893,-1.876754,1,2,10,13,14,244,1
1.000729,3.124915,1,2,10,14,15,254,1
1.218896,3.120906,1,2,10,15,16,8,1
1.794451,3.134596,1,2,10,16,1,18,1
2.082539,3.135764,1,3,11,1,2,28,1
1.853153,-0.005486,1,3,11,4,5,38,1
1.383672,-0.021536,1,3,11,5,6,48,1
1.205059,0.017704,1,3,11,6,7,58,1
1.176751,-0.007833,1,3,11,7,8,68,1
1.352903,-0.001314,1,3,11,8,9,78,1
2.060102,-0.014946,1,3,11,9,10,88,1
1.840896,1.882226,1,3,11,12,13,98,1
1.076262,-0.62453,1,3,11,13,14,108,1
1.118105,3.131155,1,3,11,14,15,118,1
1.047137,0.6257,1,3,11,15,16,128,1
1.176714,3.133685,1,3,11,16,1,138,1
1.400106,-0.636498,1,4,12,1,2,148,1
1.794021,3.134707,1,4,12,2,3,158,1
2.028712,-0.001206,1,4,12,5,6,168,1
1.381467,-0.004927,1,4,12,6,7,178,1
1.176418,-0.007741,1,4,12,7,8,188,1
1.204685,0.01776,1,4,12,8,9,198,1
1.411157,0.000611,1,4,12,9,10,208,1
1.911341,-0.003922,1,4,12,10,11,218,1
1.852692,3.136209,1,4,12,13,14,228,1
1.117817,3.131229,1,4,12,14,15,238,1
1.053025,1.877055,1,4,12,15,16,248,1
0.969803,-3.12964,1,4,12,16,1,2,1
1.293677,3.138561,1,5,13,1,2,12,1
1.111579,1.879812,1,5,13,2,3,22,1
3.208107,3.11975,1,5,13,3,4,32,1
1.863946,-0.005256,1,5,13,6,7,42,1
1.293791,-0.003179,1,5,13,7,8,52,1
1.176392,-0.007649,1,5,13,8,9,62,1
1.264425,-4e-05,1,5,13,9,10,72,1
1.399999,-0.008191,1,5,13,10,11,82,1
1.947644,-0.006466,1,5,13,11,12,92,1
1.852514,3.136261,1,5,13,14,15,102,1
1.235009,3.136271,1,5,13,15,16,112,1
1.000321,3.12507,1,5,13,16,1,122,1
1.295394,3.137318,1,6,14,1,2,132,1
0.942132,1.870883,1,6,14,2,3,142,1
2.578614,3.120032,1,6,14,3,4,152,1
1.735322,3.133083,1,6,14,4,5,162,1
1.969954,-0.002333,1,6,14,7,8,172,1
1.324614,-0.015594,1,6,14,8,9,182,1
1.235068,-0.005124,1,6,14,9,10,192,1
1.282645,-0.008306,1,6,14,10,11,202,1
1.293775,-0.003009,1,6,14,11,12,212,1
1.828239,0.000949,1,6,14,12,13,222,1
1.911304,3.137904,1,6,14,15,16,232,1
1.134677,-0.622301,1,6,14,16,1,242,1
1.441872,3.122997,1,7,15,1,2,252,1
0.94183,3.121543,1,7,15,2,3,6,1
2.415281,3.110894,1,7,15,3,4,16,1
1.011713,0.623906,1,7,15,4,5,26,1
2.146205,1.874673,1,7,15,5,6,36,1
1.911498,-0.003817,1,7,15,8,9,46,1
1.41114,0.000613,1,7,15,9,10,56,1
1.293858,-0.003194,1,7,15,10,11,66,1
1.146035,0.016622,1,7,15,11,12,76,1
1.293883,-0.003166,1,7,15,12,13,86,1
1.970152,-0.002479,1,7,15,13,14,96,1
1.852736,3.136313,1,7,15,16,1,106,1
2.000663,3.125526,1,8,16,1,2,116,1
1.059096,3.128404,1,8,16,2,3,126,1
2.415143,3.11091,1,8,16,3,4,136,1
0.852374,-3.133751,1,8,16,4,5,146,1
1.293787,3.138405,1,8,16,5,6,156,1
1.94785,3.126512,1,8,16,6,7,166,1
2.07647,-0.0089,1,8,16,9,10,176,1
1.411196,0.000631,1,8,16,10,11,186,1
1.170294,-0.007685,1,8,16,11,12,196,1
1.199089,-0.007691,1,8,16,12,13,206,1
1.394479,-0.01262,1,8,16,13,14,216,1
1.794041,-0.006885,1,8,16,14,15,226,1
1.816059,3.125703,1,9,1,2,3,236,1
2.562618,3.117851,1,9,1,3,4,246,1
0.882976,3.117197,1,9,1,4,5,0,1
0.910895,-3.131602,1,9,1,5,6,10,1
1.383203,3.120032,1,9,1,6,7,20,1
1.91098,3.137681,1,9,1,7,8,30,1
1.911018,-0.00393,1,9,1,10,11,40,1
1.293618,-0.003212,1,9,1,11,12,50,1
1.176284,-0.007692,1,9,1,12,13,60,1
1.176194,-0.007749,1,9,1,13,14,70,1
1.293619,-0.00323,1,9,1,14,15,80,1
1.969656,-0.002545,1,9,1,15,16,90,1
3.20236,3.119879,1,10,2,3,4,100,1
1.02831,-3.127795,1,10,2,4,5,110,1
1.117585,3.131268,1,10,2,5,6,120,1
1.117629,3.131222,1,10,2,6,7,130,1
1.29363,3.138391,1,10,2,7,8,140,1
1.793786,3.134683,1,10,2,8,9,150,1
1.894392,-0.003938,1,10,2,11,12,160,1
1.29364,-0.003173,1,10,2,12,13,170,1
1.198856,0.008109,1,10,2,13,14,180,1
1.176293,-0.007672,1,10,2,14,15,190,1
1.41096,0.000587,1,10,2,15,16,200,1
1.935177,-0.003799,1,10,2,16,1,210,1
2.204572,0.002244,1,11,3,1,2,220,1
1.735169,3.133041,1,11,3,4,5,230,1
1.247425,3.127433,1,11,3,5,6,240,1
1.017281,-0.626742,1,11,3,6,7,250,1
1.117691,3.131244,1,11,3,7,8,4,1
1.176389,3.13384,1,11,3,8,9,14,1
2.028464,3.140374,1,11,3,9,10,24,1
1.852497,-0.005341,1,11,3,12,13,34,1
1.352361,-0.00119,1,11,3,13,14,44,1
1.117627,-0.010275,1,11,3,14,15,54,1
1.293653,-0.003182,1,11,3,15,16,64,1
1.293729,-0.003236,1,11,3,16,1,74,1
1.41076,0.000573,1,12,4,1,2,84,1
1.851987,-0.005278,1,12,4,2,3,94,1
2.086558,-3.141442,1,12,4,5,6,104,1
1.293385,3.138459,1,12,4,6,7,114,1
1.117382,3.131306,1,12,4,7,8,124,1
1.058689,3.128437,1,12,4,8,9,134,1
1.351978,3.140428,1,12,4,9,10,144,1
1.85195,3.136324,1,12,4,10,11,154,1
1.851968,-0.005259,1,12,4,13,14,164,1
1.293346,-0.003117,1,12,4,14,15,174,1
1.293284,-0.003081,1,12,4,15,16,184,1
1.181635,-0.007587,1,12,4,16,1,194,1
1.234688,-0.005409,1,13,5,1,2,204,1
1.293223,-0.003075,1,13,5,2,3,214,1
3.399171,-0.01481,1,13,5,3,4,224,1
1.851862,3.13635,1,13,5,6,7,234,1
1.234597,3.13633,1,13,5,7,8,244,1
1.058587,3.128415,1,13,5,8,9,254,1
1.23449,3.136366,1,13,5,9,10,8,1
1.293154,3.138538,1,13,5,10,11,18,1
1.85177,3.136385,1,13,5,11,12,28,1
1.910444,-0.003727,1,13,5,14,15,38,1
1.422841,-0.007051,1,13,5,15,16,48,1
1.198486,-0.001016,1,13,5,16,1,58,1
1.261668,0.020074,1,14,6,1,2,68,1
1.117177,-0.009648,1,14,6,2,3,78,1
2.525787,-0.031952,1,14,6,3,4,88,1
1.751352,-0.00822,1,14,6,4,5,98,1
