Frequency,Magnitude,Phase
1,860.7725467601676,-0.22578387771698147
2,786.3650147193651,-0.3632791875979035
4,659.2458236930262,-0.5496796683629258
7,528.1179342604023,-0.712417360098883
10,443.1806080344906,-0.81400788455434
20,295.0733073158626,-1.0018431332848179
40,181.51967502721064,-1.1784500128880022
70,116.76105164631215,-1.3124301079716367
100,86.77666963994541,-1.4024608606390048
200,46.793257995201735,-1.6144122533380874
