Frequency,Magnitude,Phase
1,919.0771534317995,-0.46119238550020075
2,744.4348750140656,-0.5996003052854856
4,556.7415731281399,-0.7631656906295842
7,410.597940045973,-0.8958380816776784
10,328.2331747571473,-0.9705862326230813
20,203.170843964793,-1.0819174838620007
40,122.850925424473,-1.1565013637190462
70,82.41717272434235,-1.2183198087647817
100,63.20491691959336,-1.2635493775604998
200,37.8011728826022,-1.4412088563274243
