BIOZ1_MAG,BIOZ1_PHASE,EXC_FREQ_KHZ,EXC_PIN,GND_PIN,SNS_AP_PIN,SNS_AN_PIN,PACKET_NUMBER,FREQUENCY KHZ
1.738961,-0.009638,1,1,9,2,3,194,1
1.113979,-0.006202,1,1,9,3,4,204,1
0.943738,-0.021142,1,1,9,4,5,214,1
0.854155,0.006753,1,1,9,5,6,224,1
1.17887,-0.008671,1,1,9,6,7,234,1
1.856502,-0.006315,1,1,9,7,8,244,1
1.797702,3.133711,1,1,9,10,11,254,1
1.178856,3.132912,1,1,9,11,12,8,1
0.795309,-3.137298,1,1,9,12,13,18,1
0.795311,-3.137307,1,1,9,13,14,28,1
1.03065,-3.128813,1,1,9,14,15,38,1
1.767179,-3.133552,1,1,9,15,16,48,1
1.797889,-0.007768,1,2,10,3,4,58,1
1.089603,0.014251,1,2,10,4,5,68,1
1.002661,-0.017483,1,2,10,5,6,78,1
0.919275,0.002918,1,2,10,6,7,88,1
1.178967,-0.008678,1,2,10,7,8,98,1
1.714651,0.003481,1,2,10,8,9,108,1
1.946622,3.122317,1,2,10,11,12,118,1
0.971908,-3.130614,1,2,10,12,13,128,1
0.818944,-1.8792,1,2,10,13,14,138,1
0.91306,-3.132548,1,2,10,14,15,148,1
1.013892,3.113382,1,2,10,15,16,158,1
1.797958,3.133707,1,2,10,16,1,168,1
1.826117,-3.132445,1,3,11,1,2,178,1
1.708449,0.006841,1,3,11,4,5,188,1
1.249706,-0.00588,1,3,11,5,6,198,1
1.030748,0.0127,1,3,11,6,7,208,1
1.002653,-0.017373,1,3,11,7,8,218,1
1.178922,-0.008631,1,3,11,8,9,228,1
1.856657,-0.006284,1,3,11,9,10,238,1
1.739064,3.132015,1,3,11,12,13,248,1
1.002691,3.124017,1,3,11,13,14,2,1
0.943879,3.120476,1,3,11,14,15,12,1
0.95509,0.620024,1,3,11,15,16,22,1
1.13155,3.120662,1,3,11,16,1,32,1
1.120051,3.130305,1,4,12,1,2,42,1
1.680159,3.130269,1,4,12,2,3,52,1
2.122505,-0.014223,1,4,12,5,6,62,1
1.207148,0.012176,1,4,12,6,7,72,1
1.030614,0.012629,1,4,12,7,8,82,1
1.002539,-0.017415,1,4,12,8,9,92,1
1.030674,0.012658,1,4,12,9,10,102,1
1.897082,-0.0018,1,4,12,10,11,112,1
1.739021,3.132012,1,4,12,13,14,122,1
1.089512,-0.630506,1,4,12,14,15,132,1
0.943808,3.120387,1,4,12,15,16,142,1
0.996416,1.873126,1,4,12,16,1,152,1
0.943708,3.120524,1,5,13,1,2,162,1
1.119998,3.13036,1,5,13,2,3,172,1
1.915177,3.136812,1,5,13,3,4,182,1
1.85639,-0.006224,1,5,13,6,7,192,1
1.178809,-0.008617,1,5,13,7,8,202,1
0.990132,-0.005994,1,5,13,8,9,212,1
0.854037,0.006889,1,5,13,9,10,222,1
1.225388,0.003092,1,5,13,10,11,232,1
1.973887,-0.003408,1,5,13,11,12,242,1
1.738788,3.132092,1,5,13,14,15,252,1
1.209959,3.114565,1,5,13,15,16,6,1
0.943747,3.120441,1,5,13,16,1,16,1
0.931615,0.618971,1,6,14,1,2,26,1
0.943866,3.120352,1,6,14,2,3,36,1
1.061378,3.127292,1,6,14,3,4,46,1
1.680224,3.130235,1,6,14,4,5,56,1
1.879256,0.006689,1,6,14,7,8,66,1
1.120189,-0.011263,1,6,14,8,9,76,1
0.913032,0.009016,1,6,14,9,10,86,1
1.03071,0.012716,1,6,14,10,11,96,1
1.237796,-0.00632,1,6,14,11,12,106,1
1.797871,-0.007868,1,6,14,12,13,116,1
1.915508,3.136725,1,6,14,15,16,126,1
1.149006,3.125423,1,6,14,16,1,136,1
1.119965,3.130603,1,7,15,1,2,146,1
0.943679,3.120562,1,7,15,2,3,156,1
0.795287,-3.137252,1,7,15,3,4,166,1
1.030585,-1.878207,1,7,15,4,5,176,1
1.974057,3.138115,1,7,15,5,6,186,1
1.738803,-0.009501,1,7,15,8,9,196,1
1.119991,-0.011318,1,7,15,9,10,206,1
1.03064,0.012696,1,7,15,10,11,216,1
1.061271,-0.014129,1,7,15,11,12,226,1
1.002549,-0.017403,1,7,15,12,13,236,1
2.032926,-0.00222,1,7,15,13,14,246,1
1.803843,3.13068,1,7,15,16,1,0,1
1.738927,3.131982,1,8,16,1,2,10,1
1.061296,3.127259,1,8,16,2,3,20,1
0.795296,-3.137373,1,8,16,3,4,30,1
0.884965,3.116198,1,8,16,4,5,40,1
1.237707,3.135194,1,8,16,5,6,50,1
1.797646,3.133699,1,8,16,6,7,60,1
1.797618,-0.007903,1,8,16,9,10,70,1
1.237624,-0.006316,1,8,16,10,11,80,1
1.089448,0.014154,1,8,16,11,12,90,1
0.854137,0.006752,1,8,16,12,13,100,1
1.296463,-0.004184,1,8,16,13,14,110,1
1.786572,-0.00792,1,8,16,14,15,120,1
1.67957,3.130339,1,9,1,2,3,130,1
1.002206,3.124091,1,9,1,3,4,140,1
0.884708,3.116317,1,9,1,4,5,150,1
1.119621,3.130263,1,9,1,5,6,160,1
1.060902,3.127385,1,9,1,6,7,170,1
1.797074,3.133715,1,9,1,7,8,180,1
1.855872,-0.006245,1,9,1,10,11,190,1
1.242899,-0.006284,1,9,1,11,12,200,1
0.853807,0.006812,1,9,1,12,13,210,1
1.089046,0.014223,1,9,1,13,14,220,1
1.178457,-0.008686,1,9,1,14,15,230,1
1.825325,0.008989,1,9,1,15,16,240,1
1.791161,3.133256,1,10,2,3,4,250,1
1.061042,3.127342,1,10,2,4,5,4,1
0.912746,-3.132546,1,10,2,5,6,14,1
0.943507,3.120431,1,10,2,6,7,24,1
1.119801,3.130267,1,10,2,7,8,34,1
1.738431,3.132046,1,10,2,8,9,44,1
2.004507,-0.01749,1,10,2,11,12,54,1
1.002225,-0.011762,1,10,2,12,13,64,1
1.089172,0.014217,1,10,2,13,14,74,1
1.002272,-0.017488,1,10,2,14,15,84,1
1.002311,-0.017525,1,10,2,15,16,94,1
1.797336,-0.007846,1,10,2,16,1,104,1
1.973657,-0.003535,1,11,3,1,2,114,1
1.620979,3.128332,1,11,3,4,5,124,1
1.178601,3.132911,1,11,3,5,6,134,1
0.977703,-1.87961,1,11,3,6,7,144,1
0.971568,-3.130562,1,11,3,7,8,154,1
1.061052,3.127381,1,11,3,8,9,164,1
1.755411,0.622651,1,11,3,9,10,174,1
1.797286,-0.007864,1,11,3,12,13,184,1
1.296167,-0.004108,1,11,3,13,14,194,1
0.943496,-0.021094,1,11,3,14,15,204,1
0.853918,0.006835,1,11,3,15,16,214,1
1.178586,0.001122,1,11,3,16,1,224,1
1.147974,0.015611,1,12,4,1,2,234,1
1.738366,-0.009493,1,12,4,2,3,244,1
1.914652,3.136727,1,12,4,5,6,254,1
1.060962,3.12734,1,12,4,6,7,8,1
0.943471,3.120419,1,12,4,7,8,18,1
0.912762,0.616736,1,12,4,8,9,28,1
0.853869,-3.13476,1,12,4,9,10,38,1
1.797192,3.133736,1,12,4,10,11,48,1
2.032254,-0.002232,1,12,4,13,14,58,1
1.119696,-0.0113,1,12,4,14,15,68,1
0.93118,-0.009065,1,12,4,15,16,78,1
0.971564,0.010898,1,12,4,16,1,88,1
0.971422,0.011015,1,13,5,1,2,98,1
1.13658,0.004884,1,13,5,2,3,108,1
2.097078,-0.003575,1,13,5,3,4,118,1
1.797019,3.133789,1,13,5,6,7,128,1
1.11965,3.130366,1,13,5,7,8,138,1
0.912653,-3.132511,1,13,5,8,9,148,1
0.665328,3.137768,1,13,5,9,10,158,1
1.156395,3.116376,1,13,5,10,11,168,1
1.914563,3.136799,1,13,5,11,12,178,1
1.855814,-0.006246,1,13,5,14,15,188,1
1.178378,-0.008623,1,13,5,15,16,198,1
1.002098,-0.017364,1,13,5,16,1,208,1
0.971441,0.011204,1,14,6,1,2,218,1
0.912687,0.009131,1,14,6,2,3,228,1
1.030381,0.012704,1,14,6,3,4,238,1
1.685308,-0.007648,1,14,6,4,5,248,1
1.69089,3.123747,1,14,6,7,8,2,1
1.060962,3.127358,1,14,6,8,9,12,1
0.677446,3.139398,1,14,6,9,10,22,1
0.943515,3.120403,1,14,6,10,11,32,1
1.178556,3.13291,1,14,6,11,12,42,1
1.707774,-3.13473,1,14,6,12,13,52,1
1.914765,-0.004846,1,14,6,15,16,62,1
1.231236,-0.001658,1,14,6,16,1,72,1
1.119953,-0.011622,1,15,7,1,2,82,1
0.912736,0.008954,1,15,7,2,3,92,1
0.853896,0.00676,1,15,7,3,4,102,1
1.089179,0.014245,1,15,7,4,5,112,1
1.797127,-0.007895,1,15,7,5,6,122,1
1.738378,3.132034,1,15,7,8,9,132,1
0.912681,-3.132547,1,15,7,9,10,142,1
0.965869,-0.635744,1,15,7,10,11,152,1
1.002185,3.124157,1,15,7,11,12,162,1
1.002127,3.1241,1,15,7,12,13,172,1
1.797212,3.13368,1,15,7,13,14,182,1
1.874485,-0.012207,1,15,7,16,1,192,1
1.97358,-0.003518,1,16,8,1,2,202,1
1.089184,0.014198,1,16,8,2,3,212,1
0.853873,0.006749,1,16,8,3,4,222,1
0.943499,-0.02119,1,16,8,4,5,232,1
1.030322,0.012674,1,16,8,5,6,242,1
1.914769,-0.004893,1,16,8,6,7,252,1
1.797214,3.133652,1,16,8,9,10,6,1
1.178552,3.132854,1,16,8,10,11,16,1
1.002285,3.124,1,16,8,11,12,26,1
0.795087,-3.137394,1,16,8,12,13,36,1
0.971552,-3.130601,1,16,8,13,14,46,1
1.679719,3.130248,1,16,8,14,15,56,1
1.716181,0.006418,2,1,9,2,3,224,2
1.07522,0.032139,2,1,9,3,4,234,2
0.919646,0.018949,2,1,9,4,5,244,2
1.002652,0.026457,2,1,9,5,6,254,2
1.002586,0.026494,2,1,9,6,7,8,2
1.926257,0.001383,2,1,9,7,8,18,2
1.972498,3.124257,2,1,9,10,11,28,2
1.177466,3.109316,2,1,9,11,12,38,2
0.841889,3.102356,2,1,9,12,13,48,2
0.841889,3.102325,2,1,9,13,14,58,2
1.177399,3.109314,2,1,9,14,15,68,2
1.807447,3.112544,2,1,9,15,16,78,2
1.843649,-0.003588,2,2,10,3,4,88,2
1.089642,-0.005279,2,2,10,4,5,98,2
1.048227,-0.009838,2,2,10,5,6,108,2
0.961114,0.022887,2,2,10,6,7,118,2
1.002593,0.026449,2,2,10,7,8,128,2
1.714951,0.012337,2,2,10,8,9,138,2
2.143053,3.114799,2,2,10,11,12,148,2
1.04967,3.121948,2,2,10,12,13,158,2
0.841979,3.102301,2,2,10,13,14,168,2
0.968705,3.121481,2,2,10,14,15,178,2
1.136287,3.104123,2,2,10,15,16,188,2
1.766229,3.111746,2,2,10,16,1,198,2
2.013944,3.126817,2,3,11,1,2,208,2
1.590696,0.004714,2,3,11,4,5,218,2
1.172321,0.002872,2,3,11,5,6,228,2
1.08558,0.012276,2,3,11,6,7,238,2
0.836812,0.009964,2,3,11,7,8,248,2
1.086632,0.023331,2,3,11,8,9,2,2
1.884897,-0.001067,2,3,11,9,10,12,2
1.763578,3.121025,2,3,11,12,13,22,2
1.006937,3.12683,2,3,11,13,14,32,2
0.965607,3.121547,2,3,11,14,15,42,2
0.965669,3.121538,2,3,11,15,16,52,2
1.006972,3.126832,2,3,11,16,1,62,2
1.136291,3.104149,2,4,12,1,2,72,2
1.766229,3.115121,2,4,12,2,3,82,2
1.967529,0.003616,2,4,12,5,6,92,2
1.172323,0.002855,2,4,12,6,7,102,2
0.836707,0.009931,2,4,12,7,8,112,2
0.919585,0.018982,2,4,12,8,9,122,2
1.255077,0.00995,2,4,12,9,10,132,2
1.926264,0.001351,2,4,12,10,11,142,2
1.807444,3.11261,2,4,12,13,14,152,2
1.136214,3.104134,2,4,12,14,15,162,2
0.965575,3.121477,2,4,12,15,16,172,2
0.841864,3.102321,2,4,12,16,1,182,2
1.006761,3.126849,2,5,13,1,2,192,2
1.177317,3.109338,2,5,13,2,3,202,2
2.013518,3.126928,2,5,13,3,4,212,2
1.853579,-0.002841,2,5,13,6,7,222,2
1.003516,0.026564,2,5,13,7,8,232,2
0.878101,0.014698,2,5,13,8,9,242,2
1.04815,-0.009779,2,5,13,9,10,252,2
1.13078,-0.001015,2,5,13,10,11,6,2
2.054831,-0.012167,2,5,13,11,12,16,2
1.802033,3.135498,2,5,13,14,15,26,2
1.177315,3.109386,2,5,13,15,16,36,2
0.852096,3.104159,2,5,13,16,1,46,2
0.965577,3.121644,2,6,14,1,2,56,2
1.006891,3.126959,2,6,14,2,3,66,2
1.218703,3.114183,2,6,14,3,4,76,2
1.667786,3.126071,2,6,14,4,5,86,2
1.714944,0.012371,2,6,14,7,8,96,2
1.044078,0.02982,2,6,14,8,9,106,2
1.046121,0.009994,2,6,14,9,10,116,2
0.919646,0.018947,2,6,14,10,11,126,2
1.141298,-3.5e-05,2,6,14,11,12,136,2
1.673519,0.009988,2,6,14,12,13,146,2
1.807437,3.11261,2,6,14,15,16,156,2
1.095117,3.0986,2,6,14,16,1,166,2
1.136232,3.103949,2,7,15,1,2,176,2
1.006911,3.126762,2,7,15,2,3,186,2
0.965544,3.117154,2,7,15,3,4,196,2
1.095012,3.098556,2,7,15,4,5,206,2
1.806,3.11831,2,7,15,5,6,216,2
1.714938,0.012398,2,7,15,8,9,226,2
1.213642,0.006538,2,7,15,9,10,236,2
0.961102,0.022919,2,7,15,10,11,246,2
0.961076,0.022915,2,7,15,11,12,0,2
1.002556,0.026494,2,7,15,12,13,10,2
1.884758,-0.001008,2,7,15,13,14,20,2
1.807347,3.112606,2,7,15,16,1,30,2
2.013807,3.126825,2,8,16,1,2,40,2
