BIOZ1_MAG,BIOZ1_PHASE,EXC_FREQ_KHZ,EXC_PIN,GND_PIN,SNS_AP_PIN,SNS_AN_PIN,PACKET_NUMBER,FREQUENCY KHZ
1.917369,-0.004866,1,1,9,2,3,110,1
1.29782,-0.004131,1,1,9,3,4,120,1
2.406567,-0.034466,1,1,9,4,5,130,1
1.356681,-0.002168,1,1,9,5,6,140,1
1.474508,0.001296,1,1,9,6,7,150,1
1.976102,-0.003575,1,1,9,7,8,160,1
1.746388,1.878893,1,1,9,10,11,170,1
1.149521,-3.125965,1,1,9,11,12,180,1
1.192652,3.123611,1,1,9,12,13,190,1
1.210772,1.862939,1,1,9,13,14,200,1
1.208511,-3.124713,1,1,9,14,15,210,1
1.85848,3.135294,1,1,9,15,16,220,1
1.858647,-0.006428,1,2,10,3,4,230,1
2.549845,-0.030181,1,2,10,4,5,240,1
1.327917,-0.012632,1,2,10,5,6,250,1
1.356821,-0.002193,1,2,10,6,7,4,1
1.415747,-0.000421,1,2,10,7,8,14,1
1.763474,0.004394,1,2,10,8,9,24,1
1.917515,3.136638,1,2,10,11,12,34,1
1.351246,3.13475,1,2,10,12,13,44,1
1.239155,3.135204,1,2,10,13,14,54,1
1.121366,3.130258,1,2,10,14,15,64,1
1.356793,3.1394,1,2,10,15,16,74,1
1.711427,3.123751,1,2,10,16,1,84,1
1.799754,3.133654,1,3,11,1,2,94,1
3.017271,-0.017534,1,3,11,4,5,104,1
1.332507,0.019002,1,3,11,5,6,114,1
1.356833,-0.002174,1,3,11,6,7,124,1
1.297955,-0.004156,1,3,11,7,8,134,1
1.149662,0.015578,1,3,11,8,9,144,1
1.917475,-0.004844,1,3,11,9,10,154,1
1.853029,3.134939,1,3,11,12,13,164,1
1.387842,3.119164,1,3,11,13,14,174,1
1.121377,3.130289,1,3,11,14,15,184,1
1.257807,3.122045,1,3,11,15,16,194,1
1.239046,3.135258,1,3,11,16,1,204,1
1.149652,-3.125979,1,4,12,1,2,214,1
1.97626,3.138037,1,4,12,2,3,224,1
2.12505,-0.014241,1,4,12,5,6,234,1
1.474593,0.00127,1,4,12,6,7,244,1
1.297895,-0.004186,1,4,12,7,8,254,1
1.031821,0.012675,1,4,12,8,9,8,1
1.267516,0.017979,1,4,12,9,10,18,1
1.827915,0.008964,1,4,12,10,11,28,1
1.9175,3.136674,1,4,12,13,14,38,1
1.239033,3.135285,1,4,12,14,15,48,1
1.239063,3.135192,1,4,12,15,16,58,1
1.062565,3.127231,1,4,12,16,1,68,1
1.062381,3.127414,1,5,13,1,2,78,1
1.356653,3.139442,1,5,13,2,3,88,1
1.942,3.128163,1,5,13,3,4,98,1
1.976031,-0.003428,1,5,13,6,7,108,1
1.415458,-0.000334,1,5,13,7,8,118,1
1.003529,-0.017317,1,5,13,8,9,128,1
