BIOZ1_MAG,BIOZ1_PHASE,EXC_FREQ_KHZ,EXC_PIN,GND_PIN,SNS_AP_PIN,SNS_AN_PIN,PACKET_NUMBER
4.498053,3.091954,10,16,8,9,10,250
2.468138,3.109297,10,16,8,10,11,254
2.192132,3.102846,10,16,8,11,12,2
2.230321,3.095438,10,16,8,12,13,6
2.597169,3.104837,10,16,8,13,14,10
4.200332,3.100244,10,16,8,14,15,14
4.110395,-0.042858,10,1,9,2,3,18
2.673839,-0.048957,10,1,9,3,4,22
1.955643,-0.055518,10,1,9,4,5,26
2.177229,-0.056253,10,1,9,5,6,30
2.635683,-0.042986,10,1,9,6,7,34
4.369528,-0.04754,10,1,9,7,8,38
3.942582,3.105532,10,1,9,10,11,42
2.614881,3.119147,10,1,9,11,12,46
2.231375,3.095359,10,1,9,12,13,50
2.209835,3.119705,10,1,9,13,14,54
2.560668,3.111118,10,1,9,14,15,58
4.273307,3.114057,10,1,9,15,16,62
4.293633,-0.040205,10,2,10,3,4,66
2.360154,-0.050213,10,2,10,4,5,70
2.230447,-0.046036,10,2,10,5,6,74
2.139071,-0.048957,10,2,10,6,7,78
2.635758,-0.042927,10,2,10,7,8,82
3.926691,-0.045706,10,2,10,8,9,86
4.293997,3.101566,10,2,10,11,12,90
2.635601,3.098694,10,2,10,12,13,94
2.209241,3.119906,10,2,10,13,14,98
2.154721,3.11022,10,2,10,14,15,102
2.651371,3.113001,10,2,10,15,16,106
4.309685,3.110339,10,3,11,1,2,110
3.888805,-0.041606,10,3,11,4,5,114
2.673445,-0.04896,10,3,11,5,6,118
2.230251,-0.046067,10,3,11,6,7,122
2.230384,-0.046095,10,3,11,7,8,126
2.452124,-0.047698,10,3,11,8,9,130
4.483744,-0.058103,10,3,11,9,10,134
4.164132,3.104002,10,3,11,12,13,138
2.560516,3.111146,10,3,11,13,14,142
2.193106,3.102708,10,3,11,14,15,146
2.209441,3.11979,10,3,11,15,16,150
2.652009,3.112741,10,4,12,1,2,154
4.088945,3.111776,10,4,12,2,3,158
4.553361,-0.044994,10,4,12,5,6,162
2.727328,-0.040987,10,4,12,6,7,166
2.230593,-0.046358,10,4,12,7,8,170
2.063014,-0.033831,10,4,12,8,9,174
2.841338,-0.058104,10,4,12,9,10,178
4.05593,-0.04824,10,4,12,10,11,182
4.125655,3.107878,10,4,12,13,14,186
2.559994,3.111024,10,4,12,14,15,190
2.209185,3.119699,10,4,12,15,16,194
2.246306,3.112226,10,5,13,1,2,198
2.688909,3.106568,10,5,13,2,3,202
4.622525,3.109504,10,5,13,3,4,206
4.201343,-0.041609,10,5,13,6,7,210
2.581176,-0.051533,10,5,13,7,8,214
2.062886,-0.033655,10,5,13,8,9,218
2.421795,-0.079161,10,5,13,9,10,222
2.490348,-0.054187,10,5,13,10,11,226
4.185648,-0.050532,10,5,13,11,12,230
4.109791,3.098731,10,5,13,14,15,234
2.597787,3.104724,10,5,13,15,16,238
2.193498,3.102623,10,6,14,1,2,242
2.172171,3.127578,10,6,14,2,3,246
2.690012,3.106664,10,6,14,3,4,250
3.830522,3.118193,10,6,14,4,5,254
4.24008,-0.045286,10,6,14,7,8,2
2.41444,-0.041094,10,6,14,8,9,6
2.398266,-0.056876,10,6,14,9,10,10
2.046893,-0.052023,10,6,14,10,11,14
2.543674,-0.045288,10,6,14,11,12,18
4.18515,-0.050475,10,6,14,12,13,22
4.218224,3.109107,10,6,14,15,16,26
2.652451,3.113244,10,7,15,1,2,30
2.155605,3.110317,10,7,15,2,3,34
2.247228,3.112323,10,7,15,3,4,38
2.338977,3.114136,10,7,15,4,5,42
4.051677,3.115893,10,7,15,5,6,46
3.981097,-0.040389,10,7,15,8,9,50
2.841668,-0.058013,10,7,15,9,10,54
2.063557,-0.033737,10,7,15,10,11,58
2.139646,-0.049158,10,7,15,11,12,62
2.658845,-0.063415,10,7,15,12,13,66
4.165853,-0.037642,10,7,15,13,14,70
4.256572,3.105393,10,8,16,1,2,74
2.597559,3.104693,10,8,16,2,3,78
2.209579,3.119614,10,8,16,3,4,82
1.933949,3.113733,10,8,16,4,5,86
2.522532,3.117546,10,8,16,5,6,90
4.256091,3.105155,10,8,16,6,7,94
4.537938,-0.053317,10,8,16,9,10,98
2.490426,-0.054275,10,8,16,10,11,102
2.176915,-0.056403,10,8,16,11,12,106
2.268834,-0.053289,10,8,16,12,13,110
2.582162,-0.051496,10,8,16,13,14,114
4.240956,-0.045311,10,8,16,14,15,118
4.087869,3.111683,10,9,1,2,3,122
2.635467,3.098281,10,9,1,3,4,126
1.933555,3.113611,10,9,1,4,5,130
2.15505,3.109929,10,9,1,5,6,134
2.818975,3.102467,10,9,1,6,7,138
4.347558,3.106165,10,9,1,7,8,142
4.018384,-0.044559,10,9,1,10,11,146
2.581709,-0.051558,10,9,1,11,12,150
2.268237,-0.053382,10,9,1,12,13,154
2.192337,-0.03901,10,9,1,13,14,158
2.619302,-0.057624,10,9,1,14,15,162
4.330472,-0.043969,10,9,1,15,16,166
4.291363,3.101347,10,10,2,3,4,170
2.337462,3.114152,10,10,2,4,5,174
2.208079,3.119719,10,10,2,5,6,178
2.412808,3.100456,10,10,2,6,7,182
2.650367,3.112817,10,10,2,7,8,186
3.956639,3.114852,10,10,2,8,9,190
4.291108,-0.040217,10,10,2,11,12,194
2.656807,-0.063342,10,10,2,12,13,198
2.229533,-0.046132,10,10,2,13,14,202
2.22947,-0.046192,10,10,2,14,15,206
2.672349,-0.049057,10,10,2,15,16,210
4.313616,-0.052782,10,11,3,1,2,214
3.848624,3.103948,10,11,3,4,5,218
2.650839,3.112732,10,11,3,5,6,222
2.375117,3.107151,10,11,3,6,7,226
2.3002,3.121326,10,11,3,7,8,230
2.483785,3.124313,10,11,3,8,9,234
4.475424,3.103755,10,11,3,9,10,238
4.18405,-0.050569,10,11,3,12,13,242
2.596714,-0.036818,10,11,3,13,14,246
2.22986,-0.046129,10,11,3,14,15,250
2.229728,-0.046101,10,11,3,15,16,254
2.671888,-0.049266,10,12,4,1,2,2
4.107397,-0.043167,10,12,4,2,3,6
4.528962,3.108418,10,12,4,5,6,10
2.855563,3.096787,10,12,4,6,7,14
2.320934,3.097923,10,12,4,7,8,18
2.078903,3.125802,10,12,4,8,9,22
2.763758,3.094587,10,12,4,9,10,26
3.994379,3.110594,10,12,4,10,11,30
4.161577,-0.037809,10,12,4,13,14,34
2.580497,-0.051627,10,12,4,14,15,38
2.229407,-0.046251,10,12,4,15,16,42
2.267159,-0.053156,10,13,5,1,2,46
2.709939,-0.054747,10,13,5,2,3,50
4.62585,-0.051619,10,13,5,3,4,54
4.329064,3.097706,10,13,5,6,7,58
2.650434,3.113023,10,13,5,7,8,62
2.004265,-3.140024,10,13,5,8,9,66
2.358979,3.091252,10,13,5,9,10,70
2.46661,3.109373,10,13,5,10,11,74
4.177966,3.113116,10,13,5,11,12,78
4.107734,-0.042842,10,13,5,14,15,82
2.671873,-0.048972,10,13,5,15,16,86
2.229274,-0.046223,10,14,6,1,2,90
2.229539,-0.046279,10,14,6,2,3,94
2.710269,-0.05495,10,14,6,3,4,98
3.795793,-0.043308,10,14,6,4,5,102
4.216877,3.108894,10,14,6,7,8,106
2.392341,3.122953,10,14,6,8,9,110
2.321683,3.097988,10,14,6,9,10,114
2.062466,3.107816,10,14,6,10,11,118
2.559314,3.111078,10,14,6,11,12,122
4.239097,3.096126,10,14,6,12,13,126
4.254586,-0.036415,10,14,6,15,16,130
2.672893,-0.048935,10,15,7,1,2,134
2.176718,-0.056287,10,15,7,2,3,138
2.268423,-0.053057,10,15,7,3,4,142
2.35988,-0.050304,10,15,7,4,5,146
4.071944,-0.038772,10,15,7,5,6,150
3.959068,3.11507,10,15,7,8,9,154
2.765368,3.094892,10,15,7,9,10,158
2.100975,3.100134,10,15,7,10,11,162
2.155099,3.110283,10,15,7,11,12,166
2.635601,3.098694,10,15,7,12,13,170
4.234957,3.118069,10,15,7,13,14,174
4.330338,-0.043881,10,16,8,1,2,178
2.580789,-0.051389,10,16,8,2,3,182
2.229526,-0.045985,10,16,8,3,4,186
2.008288,-0.044126,10,16,8,4,5,190
2.542688,-0.045031,10,16,8,5,6,194
4.222411,-0.054122,10,16,8,6,7,198
4.459582,3.095551,10,16,8,9,10,202
2.504925,3.102843,10,16,8,10,11,206
