BIOZ1_TOMO,EXC_FREQ_KHZ,GND_OUTPUT,EXC_OUTPUT,SENSE_OUTPUT,PACKET_NUMBER
47.98092746327272,10,2,6,16,237
44.2025722528078,10,2,7,1,242
46.22042550414958,10,2,7,3,246
52.47997976375936,10,2,7,4,250
57.0578108148833,10,2,7,5,254
64.22791554221838,10,2,7,6,2
112.02450717316468,10,2,7,7,6
65.52845171526977,10,2,7,8,10
61.12760177691647,10,2,7,9,14
59.3503846850388,10,2,7,10,18
57.65396074806247,10,2,7,11,22
56.15560810823626,10,2,7,12,26
54.84820381245109,10,2,7,13,30
53.36389923062413,10,2,7,14,34
51.42580504202472,10,2,7,15,38
48.68209602635043,10,2,7,16,42
44.59657088417715,10,2,8,1,50
45.987472038293404,10,2,8,3,54
51.527395619938886,10,2,8,4,58
55.317534235621764,10,2,8,5,62
59.95584268612954,10,2,8,6,66
65.59080388915477,10,2,8,7,70
113.64325359160576,10,2,8,8,74
67.49443291738169,10,2,8,9,78
62.53532874170683,10,2,8,10,82
59.96780405396211,10,2,8,11,86
57.914402812212955,10,2,8,12,90
56.23984596418214,10,2,8,13,94
54.50358935684752,10,2,8,14,98
52.49357101099763,10,2,8,15,102
49.48206479107554,10,2,8,16,106
44.82400697682171,10,2,9,1,114
45.751645009098695,10,2,9,3,118
50.90599190891985,10,2,9,4,122
54.179206613030885,10,2,9,5,126
57.941955097867606,10,2,9,6,130
61.12256992525154,10,2,9,7,134
67.38754364411555,10,2,9,8,138
111.96259920737215,10,2,9,9,142
67.68261946992152,10,2,9,10,146
62.79112099702247,10,2,9,11,150
59.907197247453624,10,2,9,12,154
57.68630320391139,10,2,9,13,158
55.59989935302101,10,2,9,14,162
53.26427954068625,10,2,9,15,166
49.951845522214015,10,2,9,16,170
45.094835708758126,10,2,10,1,178
45.45575754334857,10,2,10,3,182
50.30292221162332,10,2,10,4,186
53.21535582409733,10,2,10,5,190
56.50487346977127,10,2,10,6,194
58.68869936283287,10,2,10,7,198
62.05912428011602,10,2,10,8,202
67.44169946739306,10,2,10,9,206
113.30306264916283,10,2,10,10,210
68.12877708110811,10,2,10,11,214
62.57407204275328,10,2,10,12,218
59.438766949760144,10,2,10,13,222
56.770902572824646,10,2,10,14,226
54.10604597186228,10,2,10,15,230
50.34360827891449,10,2,10,16,234
45.36653504937959,10,2,11,1,242
45.19071165386727,10,2,11,3,246
49.78018347001573,10,2,11,4,250
52.4444758775721,10,2,11,5,254
55.33347887705474,10,2,11,6,2
57.044022895900504,10,2,11,7,6
59.35467253175291,10,2,11,8,10
62.474715260657895,10,2,11,9,14
68.13879437488643,10,2,11,10,18
114.28643209118832,10,2,11,11,22
67.21109271423471,10,2,11,12,26
61.7094849187616,10,2,11,13,30
58.1701571131607,10,2,11,14,34
54.988802172433005,10,2,11,15,38
50.880256844781755,10,2,11,16,42
