BIOZ1_TOMO,EXC_FREQ_KHZ,GND_OUTPUT,EXC_OUTPUT,SENSE_OUTPUT,PACKET_NUMBER
53.99789305339182,10,3,16,11,21
54.921004686660446,10,3,16,12,24
56.05896166435901,10,3,16,13,28
58.452227785401384,10,3,16,14,32
61.82125594251196,10,3,16,15,36
105.55117896664447,10,3,16,16,40
44.66576380118419,10,4,5,1,48
43.84910743399882,10,4,5,2,52
41.672223639435806,10,4,5,3,56
89.77182987927027,10,4,5,5,60
50.84444365862158,10,4,5,6,64
48.398894343253296,10,4,5,7,68
47.67383772341603,10,4,5,8,72
47.20007512142493,10,4,5,9,76
46.83898754077005,10,4,5,10,80
46.55130539432661,10,4,5,11,84
46.23318139037216,10,4,5,12,88
46.07900642366499,10,4,5,13,92
45.89295872499527,10,4,5,14,96
45.496647081069156,10,4,5,15,100
45.15139042377671,10,4,5,16,104
49.082606464302515,10,4,6,1,112
47.642060857132996,10,4,6,2,116
44.55028451771823,10,4,6,3,120
50.81171934039592,10,4,6,5,124
103.22019810818774,10,4,6,6,128
58.823853165893844,10,4,6,7,132
55.66531719676313,10,4,6,8,136
54.317067422839436,10,4,6,9,140
53.36500652502049,10,4,6,10,144
52.742682227955484,10,4,6,11,148
52.082002214407346,10,4,6,12,152
51.69956982103966,10,4,6,13,156
51.18487866224809,10,4,6,14,160
50.52243592397715,10,4,6,15,164
49.861782814694735,10,4,6,16,168
50.98915483270136,10,4,7,1,176
49.15127131744482,10,4,7,2,180
45.48555466203329,10,4,7,3,184
48.486232888536286,10,4,7,5,188
58.90892535972697,10,4,7,6,192
108.99154440516118,10,4,7,7,196
63.35384253236252,10,4,7,8,200
59.569980582252654,10,4,7,9,204
57.65160352451866,10,4,7,10,208
56.47885366340824,10,4,7,11,212
55.472237314797695,10,4,7,12,216
54.70753758305164,10,4,7,13,220
53.96591647234051,10,4,7,14,224
53.039106775386074,10,4,7,15,228
52.10986188861738,10,4,7,16,232
52.2140101475788,10,4,8,1,240
50.07715887705736,10,4,8,2,244
46.067628868768416,10,4,8,3,248
47.665970177952374,10,4,8,5,252
55.65676308423835,10,4,8,6,0
63.23999734401283,10,4,8,7,4
111.92668964896387,10,4,8,8,8
66.39678948513757,10,4,8,9,12
61.81102122785127,10,4,8,10,16
59.77252051828773,10,4,8,11,20
58.18786854067392,10,4,8,12,24
57.05897210287484,10,4,8,13,28
56.01374585245374,10,4,8,14,32
54.82274182617666,10,4,8,15,36
53.60491051757347,10,4,8,16,40
53.16578406841425,10,4,9,1,48
50.77528261083225,10,4,9,2,52
46.46178363231088,10,4,9,3,56
47.186451185681044,10,4,9,5,60
54.3064202424024,10,4,9,6,64
59.45118929400967,10,4,9,7,68
66.39015438589192,10,4,9,8,72
111.54088523433326,10,4,9,9,76
67.60361877757356,10,4,9,10,80
63.23999734401283,10,4,9,11,84
60.78682338567244,10,4,9,12,88
59.18629105847205,10,4,9,13,92
57.746323588016956,10,4,9,14,96
56.26528802025865,10,4,9,15,100
54.78338886663023,10,4,9,16,104
54.03953078836589,10,4,10,1,112
51.342982206690564,10,4,10,2,116
46.73863421399269,10,4,10,3,120
46.85925909947528,10,4,10,5,124
53.40607129397814,10,4,10,6,128
57.5866664397507,10,4,10,7,132
61.87659802952345,10,4,10,8,136
67.66183332437892,10,4,10,9,140
113.90051397982198,10,4,10,10,144
69.14503465861343,10,4,10,11,148
64.04837275422582,10,4,10,12,152
61.54392761150467,10,4,10,13,156
59.563485051760416,10,4,10,14,160
57.72287862942985,10,4,10,15,164
55.93250625686964,10,4,10,16,168
54.80917013719315,10,4,11,1,176
51.88472663295072,10,4,11,2,180
47.00246762058076,10,4,11,3,184
46.56506117490345,10,4,11,5,188
52.77285349447799,10,4,11,6,192
56.42527188495367,10,4,11,7,196
59.78468097230172,10,4,11,8,200
63.26566445041467,10,4,11,9,204
69.16089580294285,10,4,11,10,208
115.91316081858135,10,4,11,11,212
