BIOZ1_MAG,BIOZ1_PHASE,EXC_FREQ_KHZ,EXC_PIN,GND_PIN,SNS_AP_PIN,SNS_AN_PIN,PACKET_NUMBER
3.07338,3.095477,10,12,4,6,7,227
2.593135,3.10463,10,12,4,7,8,231
2.480649,3.124259,10,12,4,8,9,235
2.830926,3.115827,10,12,4,9,10,239
4.2862,3.101265,10,12,4,10,11,243
4.248338,-0.036444,10,12,4,13,14,247
2.814333,-0.03907,10,12,4,14,15,251
2.53927,-0.045411,10,12,4,15,16,255
2.501692,-0.038864,10,13,5,1,2,3
2.851772,-0.044538,10,13,5,2,3,7
4.506443,-0.041231,10,13,5,3,4,11
4.468965,3.103932,10,13,5,6,7,15
2.905466,3.10461,10,13,5,7,8,19
2.425857,3.116028,10,13,5,8,9,23
2.4802,3.12449,10,13,5,9,10,27
2.905729,3.104494,10,13,5,10,11,31
4.21029,3.109128,10,13,5,11,12,35
4.1563,-0.03757,10,13,5,14,15,39
2.851434,-0.044481,10,13,5,15,16,43
2.500965,-0.039016,10,14,6,1,2,47
2.501481,-0.039042,10,14,6,2,3,51
2.889561,-0.050119,10,14,6,3,4,55
3.973025,-0.04037,10,14,6,4,5,59
4.247966,3.105117,10,14,6,7,8,63
2.738804,3.114302,10,14,6,8,9,67
2.46365,3.109144,10,14,6,9,10,71
2.593128,3.104777,10,14,6,10,11,75
2.830414,3.116059,10,14,6,11,12,79
4.157404,3.10397,10,14,6,12,13,83
4.194662,-0.041434,10,14,6,15,16,87
2.760814,-0.046645,10,15,7,1,2,91
2.447581,-0.047618,10,15,7,2,3,95
2.50213,-0.038801,10,15,7,3,4,99
2.53993,-0.045171,10,15,7,4,5,103
4.195645,-0.0414,10,15,7,5,6,107
4.028247,3.106807,10,15,7,8,9,111
2.831662,3.116067,10,15,7,9,10,115
2.593655,3.104898,10,15,7,10,11,119
2.518669,3.117692,10,15,7,11,12,123
2.906402,3.104675,10,15,7,12,13,127
4.265641,3.114109,10,15,7,13,14,131
4.248949,-0.036294,10,16,8,1,2,135
2.814149,-0.038748,10,16,8,2,3,139
2.539858,-0.04523,10,16,8,3,4,143
2.264758,-0.053089,10,16,8,4,5,147
2.85269,-0.044472,10,16,8,5,6,151
4.308656,-0.052599,10,16,8,6,7,155
4.432055,3.107654,10,16,8,9,10,159
2.943904,3.099125,10,16,8,10,11,163
2.556074,3.111171,10,16,8,11,12,167
2.631268,3.098602,10,16,8,12,13,171
2.906148,3.104644,10,16,8,13,14,175
4.211159,3.109103,10,16,8,14,15,179
4.234592,-0.045252,10,1,9,2,3,183
2.853367,-0.044585,10,1,9,3,4,187
2.303457,-0.059873,10,1,9,4,5,191
2.593736,-0.036782,10,1,9,5,6,195
2.890835,-0.050111,10,1,9,6,7,199
4.363232,-0.04751,10,1,9,7,8,203
4.196025,3.100077,10,1,9,10,11,207
2.869414,3.110225,10,1,9,11,12,211
2.631885,3.098637,10,1,9,12,13,215
2.556753,3.111117,10,1,9,13,14,219
2.831918,3.115952,10,1,9,14,15,223
4.266774,3.114056,10,1,9,15,16,227
4.287205,-0.040294,10,2,10,3,4,231
2.616289,-0.057441,10,2,10,4,5,235
2.577836,-0.0515,10,2,10,5,6,239
2.578062,-0.051469,10,2,10,6,7,243
2.928459,-0.055434,10,2,10,7,8,247
4.011981,-0.044237,10,2,10,8,9,251
4.341023,3.106371,10,2,10,11,12,255
2.90632,3.104615,10,2,10,12,13,3
2.555771,3.111227,10,2,10,13,14,7
2.555771,3.111227,10,2,10,14,15,11
2.83091,3.116121,10,2,10,15,16,15
4.303354,3.11031,10,3,11,1,2,19
4.012333,-0.044206,10,3,11,4,5,23
2.982364,-0.047871,10,3,11,5,6,27
2.707711,-0.054793,10,3,11,6,7,31
2.65391,-0.063187,10,3,11,7,8,35
2.761383,-0.04667,10,3,11,8,9,39
4.416767,-0.042493,10,3,11,9,10,43
4.158379,3.104004,10,3,11,12,13,47
2.869333,3.110166,10,3,11,13,14,51
2.51889,3.117723,10,3,11,14,15,55
2.51889,3.117723,10,3,11,15,16,59
2.794195,3.121744,10,4,12,1,2,63
4.174437,3.112717,10,4,12,2,3,67
4.638066,-0.043862,10,4,12,5,6,71
3.111548,-0.051198,10,4,12,6,7,75
2.669609,-0.049224,10,4,12,7,8,79
2.448674,-0.047903,10,4,12,8,9,83
2.852957,-0.044735,10,4,12,9,10,87
4.255734,-0.057986,10,4,12,10,11,91
4.249586,3.105154,10,4,12,13,14,95
2.778028,3.108328,10,4,12,14,15,99
2.464959,3.109037,10,4,12,15,16,103
2.426933,3.115889,10,5,13,1,2,107
2.86909,3.109988,10,5,13,2,3,111
4.449642,3.115861,10,5,13,3,4,115
4.454631,-0.046387,10,5,13,6,7,119
2.890581,-0.050142,10,5,13,7,8,123
2.448453,-0.047787,10,5,13,8,9,127
2.486169,-0.054044,10,5,13,9,10,131
2.928203,-0.055465,10,5,13,10,11,135
4.232726,-0.045261,10,5,13,11,12,139
4.120072,3.107939,10,5,13,14,15,143
2.830998,3.116033,10,5,13,15,16,147
2.426782,3.116064,10,6,14,1,2,151
2.464798,3.109359,10,6,14,2,3,155
2.868992,3.110222,10,6,14,3,4,159
3.974416,3.101347,10,6,14,4,5,163
4.287568,-0.040116,10,6,14,7,8,167
2.723229,-0.040782,10,6,14,8,9,171
2.486092,-0.053956,10,6,14,9,10,175
2.578288,-0.051438,10,6,14,10,11,179
2.853617,-0.044554,10,6,14,11,12,183
4.14293,-0.046695,10,6,14,12,13,187
4.120677,3.107942,10,6,14,15,16,191
2.777761,3.108738,10,7,15,1,2,195
2.427647,3.115895,10,7,15,2,3,199
2.465244,3.109127,10,7,15,3,4,203
2.6105,3.119144,10,7,15,4,5,207
4.136993,3.116929,10,7,15,5,6,211
4.067054,-0.039002,10,7,15,8,9,215
2.815653,-0.039002,10,7,15,9,10,219
2.578521,-0.051553,10,7,15,10,11,223
2.540834,-0.04534,10,7,15,11,12,227
2.853198,-0.044557,10,7,15,12,13,231
4.272484,-0.048984,10,7,15,13,14,235
4.265653,3.113963,10,8,16,1,2,239
2.777534,3.108413,10,8,16,2,3,243
2.465028,3.109096,10,8,16,3,4,247
2.260654,3.128807,10,8,16,4,5,251
2.831838,3.115892,10,8,16,5,6,255
4.25009,3.105098,10,8,16,6,7,3
4.416905,-0.04258,10,8,16,9,10,7
2.966945,-0.060673,10,8,16,10,11,11
2.540231,-0.045227,10,8,16,11,12,15
2.616053,-0.057325,10,8,16,12,13,19
2.890826,-0.049964,10,8,16,13,14,23
4.325749,-0.043814,10,8,16,14,15,27
4.210921,3.108984,10,9,1,2,3,31
2.831086,3.115946,10,9,1,3,4,35
2.280986,3.104949,10,9,1,4,5,39
2.518598,3.117633,10,9,1,5,6,43
2.906673,3.104412,10,9,1,6,7,47
4.356741,3.114958,10,9,1,7,8,51
4.217342,-0.054352,10,9,1,10,11,55
2.85211,-0.044594,10,9,1,11,12,59
2.615757,-0.057562,10,9,1,12,13,63
2.577377,-0.051415,10,9,1,13,14,67
2.852191,-0.044535,10,9,1,14,15,71
4.286575,-0.040297,10,9,1,15,16,75
4.248829,3.105239,10,10,2,3,4,79
2.64717,3.112881,10,10,2,4,5,83
2.555396,3.111224,10,10,2,5,6,87
2.555627,3.111108,10,10,2,6,7,91
2.906066,3.104584,10,10,2,7,8,95
4.006556,3.120224,10,10,2,8,9,99
4.323586,-0.043795,10,10,2,11,12,103
2.889895,-0.050029,10,10,2,12,13,107
2.577152,-0.051446,10,10,2,13,14,111
2.539564,-0.045321,10,10,2,14,15,115
2.852191,-0.044535,10,10,2,15,16,119
4.324247,-0.044086,10,11,3,1,2,123
4.027678,3.106511,10,11,3,4,5,127
2.960283,3.111661,10,11,3,5,6,131
2.609733,3.119138,10,11,3,6,7,135
2.593055,3.104718,10,11,3,7,8,139
2.701144,3.120629,10,11,3,8,9,143
4.340263,3.106309,10,11,3,9,10,147
4.194543,-0.041494,10,11,3,12,13,151
2.85211,-0.044594,10,11,3,13,14,155
2.501989,-0.03892,10,11,3,14,15,159
2.540016,-0.045405,10,11,3,15,16,163
2.760666,-0.04691,10,12,4,1,2,167
4.194804,-0.041669,10,12,4,2,3,171
4.615318,3.109591,10,12,4,5,6,175
2.960543,3.111692,10,12,4,6,7,179
2.631588,3.098399,10,12,4,7,8,183
2.426008,3.115852,10,12,4,8,9,187
2.830423,3.115912,10,12,4,9,10,191
4.248338,3.105148,10,12,4,10,11,195
4.231746,-0.045442,10,12,4,13,14,199
2.814166,-0.039042,10,12,4,14,15,203
2.538667,-0.045298,10,12,4,15,16,207
2.501395,-0.038807,10,13,5,1,2,211
2.889814,-0.050088,10,13,5,2,3,215
4.4687,-0.037632,10,13,5,3,4,219
4.339221,3.106568,10,13,5,6,7,223
2.905294,3.104638,10,13,5,7,8,227
2.388753,3.123011,10,13,5,8,9,231
2.463496,3.109319,10,13,5,9,10,235
2.867809,3.110273,10,13,5,10,11,239
4.210041,3.109156,10,13,5,11,12,243
4.1563,-0.03757,10,13,5,14,15,247
2.851941,-0.044566,10,13,5,15,16,251
2.447519,-0.047824,10,14,6,1,2,255
2.485594,-0.054225,10,14,6,2,3,3
2.852368,-0.04471,10,14,6,3,4,7
3.994912,-0.053916,10,14,6,4,5,11
4.248218,3.105089,10,14,6,7,8,15
2.701464,3.120572,10,14,6,8,9,19
2.426289,3.115943,10,14,6,9,10,23
2.539564,3.096272,10,14,6,10,11,27
2.814738,3.102673,10,14,6,11,12,31
4.118501,3.107902,10,14,6,12,13,35
4.1563,-0.03757,10,14,6,15,16,39
