BIOZ1_MAG,BIOZ1_PHASE,EXC_FREQ_KHZ,EXC_PIN,GND_PIN,SNS_AP_PIN,SNS_AN_PIN,PACKET_NUMBER
4.169117,0.006365,1,1,9,7,8,167
3.866278,-3.137817,1,1,9,10,11,171
2.491668,-3.139479,1,1,9,11,12,175
2.18286,3.138963,1,1,9,12,13,179
2.239369,3.137534,1,1,9,13,14,183
2.492442,-3.139541,1,1,9,14,15,187
4.174882,-3.135347,1,1,9,15,16,191
4.113902,-0.006025,1,2,10,3,4,195
2.326766,0.006371,1,2,10,4,5,199
2.156144,0.011392,1,2,10,5,6,203
2.100181,0.013031,1,2,10,6,7,207
2.491389,0.002522,1,2,10,7,8,211
3.831999,-0.002341,1,2,10,8,9,215
4.170845,3.134826,1,2,10,11,12,219
2.65695,3.140705,1,2,10,12,13,223
2.238024,3.138014,1,2,10,13,14,227
2.127258,3.140573,1,2,10,14,15,231
2.574598,-3.129976,1,2,10,15,16,235
4.200152,3.127647,1,3,11,1,2,239
3.810471,0.004804,1,3,11,4,5,243
2.605771,-0.000212,1,3,11,5,6,247
2.101474,0.012819,1,3,11,6,7,251
2.127248,-0.001109,1,3,11,7,8,255
2.37829,0.005191,1,3,11,8,9,3
4.142109,0.000319,1,3,11,9,10,7
4.084668,-3.14047,1,3,11,12,13,11
2.60462,3.141494,1,3,11,13,14,15
2.127908,3.140422,1,3,11,14,15,19
2.129309,3.140162,1,3,11,15,16,23
2.54896,-3.140786,1,4,12,1,2,27
4.034737,-3.140192,1,4,12,2,3,31
4.426679,0.009227,1,4,12,5,6,35
2.637179,0.009423,1,4,12,6,7,39
2.156954,0.010879,1,4,12,7,8,43
1.990662,0.016133,1,4,12,8,9,47
2.52229,0.012494,1,4,12,9,10,51
3.812299,0.004554,1,4,12,10,11,55
4.144991,3.141515,1,4,12,13,14,59
2.491341,-3.139428,1,4,12,14,15,63
2.103302,-3.129269,1,4,12,15,16,67
2.21257,-3.132168,1,5,13,1,2,71
