BIOZ1_MAG,BIOZ1_PHASE,EXC_FREQ_KHZ,EXC_PIN,GND_PIN,SNS_AP_PIN,SNS_AN_PIN,PACKET_NUMBER
4.339864,3.106498,10,10,2,3,4,217
2.576999,3.090174,10,10,2,4,5,220
2.29688,3.121503,10,10,2,5,6,224
2.242804,3.112313,10,10,2,6,7,228
2.685187,3.106717,10,10,2,7,8,232
3.952559,3.114978,10,10,2,8,9,236
3.790207,-0.04319,10,10,2,11,12,240
2.22685,-0.046215,10,10,2,12,13,244
2.318135,-0.043605,10,10,2,13,14,248
3.568929,-0.041916,10,10,2,14,15,252
3.622522,-0.03595,10,10,2,15,16,0
3.827498,-0.047523,10,11,3,1,2,4
3.881853,3.099745,10,11,3,4,5,8
2.776969,3.108292,10,11,3,5,6,12
2.334577,3.114157,10,11,3,6,7,16
2.334788,3.114041,10,11,3,7,8,20
2.555475,3.111136,10,11,3,8,9,24
4.378358,3.102613,10,11,3,9,10,28
3.531598,-0.037424,10,11,3,12,13,32
2.501919,-0.038979,10,11,3,13,14,36
3.348477,-0.04059,10,11,3,14,15,40
3.293983,-0.047137,10,11,3,15,16,44
2.264566,-0.053267,10,12,4,1,2,48
3.736133,-0.049202,10,12,4,2,3,52
4.485887,3.112138,10,12,4,5,6,56
2.738881,3.114361,10,12,4,6,7,60
2.372326,3.107128,10,12,4,7,8,64
2.167969,3.127334,10,12,4,8,9,68
2.851361,3.096905,10,12,4,9,10,72
4.026848,3.106536,10,12,4,10,11,76
3.790218,-0.043337,10,12,4,13,14,80
3.660576,-0.040514,10,12,4,14,15,84
3.439235,-0.039073,10,12,4,15,16,88
2.005764,-0.044474,10,13,5,1,2,92
2.355868,-0.050514,10,13,5,2,3,96
4.232355,-0.045292,10,13,5,3,4,100
4.155936,3.103992,10,13,5,6,7,104
2.684558,3.106683,10,13,5,7,8,108
2.167895,3.127568,10,13,5,8,9,112
2.447733,3.0938,10,13,5,9,10,116
2.647096,3.112821,10,13,5,10,11,120
4.30248,3.110188,10,13,5,11,12,124
5.056904,-0.03463,10,13,5,14,15,128
4.323464,-0.043854,10,13,5,15,16,132
2.265104,-0.05338,10,14,6,1,2,136
2.081849,-0.059789,10,14,6,2,3,140
2.486254,-0.054278,10,14,6,3,4,144
3.668221,-0.06556,10,14,6,4,5,148
4.157416,3.103823,10,14,6,7,8,152
2.518449,3.117661,10,14,6,8,9,156
2.448162,3.093862,10,14,6,9,10,160
2.297626,3.121422,10,14,6,10,11,164
2.869163,3.110194,10,14,6,11,12,168
4.783035,3.103859,10,14,6,12,13,172
6.659975,-0.038079,10,14,6,15,16,176
3.29591,-0.046979,10,15,7,1,2,180
2.44931,-0.047662,10,15,7,2,3,184
2.357659,-0.050293,10,15,7,3,4,188
2.380601,-0.072881,10,15,7,4,5,192
3.975933,-0.040209,10,15,7,5,6,196
3.86276,3.114001,10,15,7,8,9,200
2.687085,3.106672,10,15,7,9,10,204
2.15231,3.110316,10,15,7,10,11,208
2.373432,3.107343,10,15,7,11,12,212
3.145089,3.114716,10,15,7,12,13,216
