BIOZ1_MAG,BIOZ1_PHASE,EXC_FREQ_KHZ,EXC_PIN,GND_PIN,SNS_AP_PIN,SNS_AN_PIN,PACKET_NUMBER
3.939884,3.10542,10,11,3,4,5,159
2.687791,3.106766,10,11,3,5,6,161
2.229407,3.095342,10,11,3,6,7,165
2.170384,3.127532,10,11,3,7,8,169
2.520599,3.117619,10,11,3,8,9,173
4.345111,3.10636,10,11,3,9,10,177
3.977462,-0.040319,10,11,3,12,13,181
2.709947,-0.054894,10,11,3,13,14,185
2.19124,-0.03899,10,11,3,14,15,189
2.19163,-0.039075,10,11,3,15,16,193
2.634066,-0.043204,10,12,4,1,2,197
4.198872,-0.04162,10,12,4,2,3,201
4.658184,3.105963,10,12,4,5,6,205
2.687807,3.106471,10,12,4,6,7,209
2.207823,3.119628,10,12,4,7,8,213
2.133159,3.135327,10,12,4,8,9,217
2.595811,3.104503,10,12,4,9,10,221
3.956762,3.114764,10,12,4,10,11,225
4.274901,-0.049326,10,12,4,13,14,229
2.595885,-0.03703,10,12,4,14,15,233
2.137384,-0.049238,10,12,4,15,16,237
2.266903,-0.053394,10,13,5,1,2,241
2.633835,-0.043236,10,13,5,2,3,245
4.641606,-0.043788,10,13,5,3,4,249
4.329211,3.097471,10,13,5,6,7,253
2.596031,3.104681,10,13,5,7,8,1
2.115868,3.117848,10,13,5,8,9,5
2.153265,3.110178,10,13,5,9,10,9
2.428717,3.115904,10,13,5,10,11,13
4.436504,3.107469,10,13,5,11,12,17
4.10677,-0.042876,10,13,5,14,15,21
2.542027,-0.045272,10,13,5,15,16,25
2.229281,-0.04637,10,14,6,1,2,29
2.191507,-0.039194,10,14,6,2,3,33
2.763836,-0.046947,10,14,6,3,4,37
3.961985,-0.050064,10,14,6,4,5,41
4.161942,3.103815,10,14,6,7,8,45
2.48401,3.124197,10,14,6,8,9,49
2.1541,3.10992,10,14,6,9,10,53
2.024469,3.11585,10,14,6,10,11,57
2.817643,3.102546,10,14,6,11,12,61
4.069814,3.102487,10,14,6,12,13,65
4.161695,-0.03775,10,14,6,15,16,69
2.671873,-0.048972,10,15,7,1,2,73
2.154087,-0.031378,10,15,7,2,3,77
2.267627,-0.053181,10,15,7,3,4,81
2.3594,-0.050426,10,15,7,4,5,85
4.124313,-0.033633,10,15,7,5,6,89
3.99553,3.110894,10,15,7,8,9,93
2.55901,3.111135,10,15,7,9,10,97
2.062156,3.10796,10,15,7,10,11,101
2.413231,3.100518,10,15,7,11,12,105
2.467266,3.10932,10,15,7,12,13,109
4.17871,3.113031,10,15,7,13,14,113
4.327913,-0.043834,10,16,8,1,2,117
2.541725,-0.045215,10,16,8,2,3,121
2.267294,-0.053184,10,16,8,3,4,125
2.007641,-0.044191,10,16,8,4,5,129
2.58003,-0.051395,10,16,8,5,6,133
4.107734,-0.042842,10,16,8,6,7,137
4.307029,3.110268,10,16,8,9,10,141
2.466833,3.109257,10,16,8,10,11,145
2.412379,3.100541,10,16,8,11,12,149
2.061731,3.107985,10,16,8,12,13,153
2.558481,3.11116,10,16,8,13,14,157
4.139776,3.117118,10,16,8,14,15,161
4.200476,-0.041583,10,1,9,2,3,165
2.672833,-0.049289,10,1,9,3,4,169
1.993141,-0.063542,10,1,9,4,5,173
2.192213,-0.039129,10,1,9,5,6,177
2.619383,-0.057711,10,1,9,6,7,181
4.331,-0.044173,10,1,9,7,8,185
3.941802,3.105116,10,1,9,10,11,189
2.818313,3.102433,10,1,9,11,12,193
2.062711,3.107759,10,1,9,12,13,197
2.154349,3.110011,10,1,9,13,14,201
2.559545,3.110962,10,1,9,14,15,205
4.179089,3.112916,10,1,9,15,16,209
4.329701,-0.043884,10,2,10,3,4,213
2.413375,-0.041103,10,2,10,4,5,217
2.192399,-0.03895,10,2,10,5,6,221
2.268096,-0.053207,10,2,10,6,7,225
2.672659,-0.048966,10,2,10,7,8,229
4.017179,-0.04427,10,2,10,8,9,233
4.552008,3.096739,10,2,10,11,12,237
2.521861,3.117599,10,2,10,12,13,241
2.154154,3.110127,10,2,10,13,14,245
2.116736,3.117944,10,2,10,14,15,249
2.59725,3.10475,10,2,10,15,16,253
4.233484,3.117797,10,3,11,1,2,1
3.925559,-0.046006,10,3,11,4,5,5
2.726927,-0.04099,10,3,11,5,6,9
2.268166,-0.053294,10,3,11,6,7,13
2.267968,-0.053326,10,3,11,7,8,17
2.543379,-0.045379,10,3,11,8,9,21
4.368762,-0.047603,10,3,11,9,10,25
4.109803,3.098584,10,3,11,12,13,29
2.559994,3.111024,10,3,11,13,14,33
2.15466,3.110161,10,3,11,14,15,37
2.154599,3.110102,10,3,11,15,16,41
2.57612,3.125402,10,4,12,1,2,45
4.178995,3.112562,10,4,12,2,3,49
4.605277,-0.040391,10,4,12,5,6,53
2.726372,-0.041112,10,4,12,6,7,57
2.35948,-0.05066,10,4,12,7,8,61
2.062472,-0.033924,10,4,12,8,9,65
2.710193,-0.05501,10,4,12,9,10,69
3.978879,-0.040488,10,4,12,10,11,73
4.254105,3.10494,10,4,12,13,14,77
2.521647,3.117421,10,4,12,14,15,81
2.116556,3.117766,10,4,12,15,16,85
2.245842,3.112252,10,5,13,1,2,89
2.613106,3.119252,10,5,13,2,3,93
4.620734,3.109762,10,5,13,3,4,97
4.237705,-0.045238,10,5,13,6,7,101
2.672032,-0.049,10,5,13,7,8,105
2.062221,-0.033721,10,5,13,8,9,109
2.267499,-0.0533,10,5,13,9,10,113
2.451334,-0.047764,10,5,13,10,11,117
4.443571,-0.054691,10,5,13,11,12,121
4.108466,3.098666,10,5,13,14,15,125
2.52149,3.117596,10,5,13,15,16,129
2.208791,3.119784,10,6,14,1,2,133
2.154599,3.110102,10,6,14,2,3,137
2.743553,3.114425,10,6,14,3,4,141
3.86687,3.113787,10,6,14,4,5,145
4.201462,-0.041549,10,6,14,7,8,149
2.467999,-0.032414,10,6,14,8,9,153
2.230125,-0.046186,10,6,14,9,10,157
2.046656,-0.052114,10,6,14,10,11,161
2.802775,-0.052496,10,6,14,11,12,165
4.169198,-0.059616,10,6,14,12,13,169
4.087973,3.111889,10,6,14,15,16,173
2.597007,3.105013,10,7,15,1,2,177
2.117227,3.118126,10,7,15,2,3,181
2.246827,3.112407,10,7,15,3,4,185
2.376098,3.1071,10,7,15,4,5,189
4.088228,3.111714,10,7,15,5,6,193
4.034082,-0.03511,10,7,15,8,9,197
2.673377,-0.049167,10,7,15,9,10,201
