BIOZ1_MAG,BIOZ1_PHASE,EXC_FREQ_KHZ,EXC_PIN,GND_PIN,SNS_AP_PIN,SNS_AN_PIN,PACKET_NUMBER
2.175975,2.690806,100,11,3,6,7,127
2.175975,2.690806,100,11,3,7,8,131
2.397106,2.844205,100,11,3,8,9,135
3.981747,2.646281,100,11,3,9,10,139
3.61476,-0.420855,100,11,3,12,13,143
2.474508,-0.340745,100,11,3,13,14,147
3.261172,-0.358268,100,11,3,14,15,151
3.210187,-0.370957,100,11,3,15,16,155
2.27215,-0.411044,100,12,4,1,2,159
3.566197,-0.433283,100,12,4,2,3,163
4.350098,2.669468,100,12,4,5,6,167
2.5932,2.705167,100,12,4,6,7,171
2.175325,2.690709,100,12,4,7,8,175
2.016134,2.830843,100,12,4,8,9,179
2.50559,2.595497,100,12,4,9,10,183
3.812404,2.766689,100,12,4,10,11,187
3.762086,-0.385951,100,12,4,13,14,191
3.536533,-0.367248,100,12,4,14,15,195
3.403846,-0.349456,100,12,4,15,16,199
2.038588,-0.426769,100,13,5,1,2,203
2.27968,-0.370503,100,13,5,2,3,207
3.989949,-0.402438,100,13,5,3,4,211
3.984448,2.716078,100,13,5,6,7,215
2.545862,2.68778,100,13,5,7,8,219
2.055266,2.805028,100,13,5,8,9,223
2.199259,2.521651,100,13,5,9,10,227
2.556021,2.76016,100,13,5,10,11,231
4.125616,2.725621,100,13,5,11,12,235
4.969688,-0.388178,100,13,5,14,15,239
4.181826,-0.383437,100,13,5,15,16,243
2.267857,-0.411656,100,14,6,1,2,247
2.004145,-0.356236,100,14,6,2,3,251
2.41499,-0.395159,100,14,6,3,4,255
3.56557,-0.459077,100,14,6,4,5,3
3.890613,2.693235,100,14,6,7,8,7
2.372497,2.767224,100,14,6,8,9,11
2.199988,2.521648,100,14,6,9,10,15
2.137795,2.756136,100,14,6,10,11,19
2.741164,2.753909,100,14,6,11,12,23
4.585108,2.699759,100,14,6,12,13,27
6.605473,-0.373854,100,14,6,15,16,31
3.212427,-0.370731,100,15,7,1,2,35
2.373207,-0.374272,100,15,7,2,3,39
2.230798,-0.389057,100,15,7,3,4,43
2.32297,-0.392168,100,15,7,4,5,47
3.943924,-0.41341,100,15,7,5,6,51
3.665924,2.732801,100,15,7,8,9,55
2.384027,2.533192,100,15,7,9,10,59
2.005009,2.785386,100,15,7,10,11,63
2.181067,2.733338,100,15,7,11,12,67
3.105975,2.624848,100,15,7,12,13,71
5.711719,2.742535,100,15,7,13,14,75
4.921501,-0.396766,100,16,8,1,2,79
2.883666,-0.375753,100,16,8,2,3,83
2.423448,-0.357219,100,16,8,3,4,87
2.131982,-0.428712,100,16,8,4,5,91
2.64901,-0.3845,100,16,8,5,6,95
4.040776,-0.391709,100,16,8,6,7,99
3.713969,2.594837,100,16,8,9,10,103
2.137587,2.756435,100,16,8,10,11,107
1.854157,2.719555,100,16,8,11,12,111
2.087949,2.603029,100,16,8,12,13,115
3.382467,2.71067,100,16,8,13,14,119
6.455484,2.748469,100,16,8,14,15,123
4.269553,-0.407105,100,1,9,2,3,127
2.751264,-0.353939,100,1,9,3,4,131
2.088432,-0.405463,100,1,9,4,5,135
2.280743,-0.370242,100,1,9,5,6,139
2.649624,-0.384535,100,1,9,6,7,143
4.216209,-0.439076,100,1,9,7,8,147
3.339565,2.725093,100,1,9,10,11,151
2.039604,2.714985,100,1,9,11,12,155
1.811482,2.592822,100,1,9,12,13,159
2.409735,2.708005,100,1,9,13,14,163
4.269277,2.734687,100,1,9,14,15,167
4.980943,2.772006,100,1,9,15,16,171
4.183347,-0.383539,100,2,10,3,4,175
2.464747,-0.378134,100,2,10,4,5,179
2.331719,-0.352634,100,2,10,5,6,183
2.239802,-0.347708,100,2,10,6,7,187
2.599529,-0.400756,100,2,10,7,8,191
3.906984,-0.377111,100,2,10,8,9,195
3.472861,2.682962,100,2,10,11,12,199
2.088224,2.602961,100,2,10,12,13,203
2.129901,2.66953,100,2,10,13,14,207
3.345314,2.752671,100,2,10,14,15,211
3.497579,2.788959,100,2,10,15,16,215
3.446438,2.77712,100,3,11,1,2,219
3.893918,-0.42458,100,3,11,4,5,223
2.699946,-0.369081,100,3,11,5,6,227
2.280589,-0.370374,100,3,11,6,7,231
2.273056,-0.410915,100,3,11,7,8,235
2.566908,-0.345503,100,3,11,8,9,239
4.260809,-0.493799,100,3,11,9,10,243
3.475442,2.629551,100,3,11,12,13,247
2.31511,2.66953,100,3,11,13,14,251
3.061552,2.730062,100,3,11,14,15,255
3.130111,2.803059,100,3,11,15,16,3
2.08774,2.736133,100,4,12,1,2,7
3.571951,2.734409,100,4,12,2,3,11
4.50956,-0.379509,100,4,12,5,6,15
2.741076,-0.387584,100,4,12,6,7,19
2.321969,-0.392198,100,4,12,7,8,23
2.161371,-0.299837,100,4,12,8,9,27
2.779031,-0.505349,100,4,12,9,10,31
3.906079,-0.377076,100,4,12,10,11,35
3.610735,2.669565,100,4,12,13,14,39
3.334272,2.697335,100,4,12,14,15,43
3.302737,2.767739,100,4,12,15,16,47
1.854157,2.719555,100,5,13,1,2,51
2.224212,2.71114,100,5,13,2,3,55
3.948617,2.751665,100,5,13,3,4,59
4.100409,-0.358944,100,5,13,6,7,63
2.642615,-0.419512,100,5,13,7,8,67
2.161656,-0.299904,100,5,13,8,9,71
2.365258,-0.530851,100,5,13,9,10,75
2.527356,-0.325017,100,5,13,10,11,79
4.268289,-0.40687,100,5,13,11,12,83
4.723109,2.689202,100,5,13,14,15,87
4.13321,2.747987,100,5,13,15,16,91
2.088432,2.73613,100,6,14,1,2,95
1.947473,2.716878,100,6,14,2,3,99
2.281117,2.771183,100,6,14,3,4,103
3.33934,2.724961,100,6,14,4,5,107
3.987218,-0.42562,100,6,14,7,8,111
2.52786,-0.324952,100,6,14,8,9,115
2.409975,-0.510441,100,6,14,9,10,119
2.216256,-0.282899,100,6,14,10,11,123
2.921021,-0.424515,100,6,14,11,12,127
4.72755,-0.432903,100,6,14,12,13,131
6.450977,2.734152,100,6,14,15,16,135
3.00555,2.714647,100,7,15,1,2,139
2.264089,2.689194,100,7,15,2,3,143
2.040881,2.759317,100,7,15,3,4,147
2.17672,2.732362,100,7,15,4,5,151
3.674759,2.757801,100,7,15,5,6,155
3.776182,-0.361511,100,7,15,8,9,159
2.596381,-0.507867,100,7,15,9,10,163
2.035618,-0.265944,100,7,15,10,11,167
2.367139,-0.413413,100,7,15,11,12,171
3.196987,-0.486593,100,7,15,12,13,175
5.980836,-0.433361,100,7,15,13,14,179
4.711838,2.688429,100,8,16,1,2,183
2.864428,2.701006,100,8,16,2,3,187
2.271318,2.73032,100,8,16,3,4,191
1.947541,2.71711,100,8,16,4,5,195
2.465975,2.76362,100,8,16,5,6,199
3.944052,2.728083,100,8,16,6,7,203
3.937518,-0.460501,100,8,16,9,10,207
2.180224,-0.258137,100,8,16,10,11,211
2.046238,-0.381538,100,8,16,11,12,215
2.269879,-0.492603,100,8,16,12,13,219
3.438403,-0.391194,100,8,16,13,14,223
6.500329,-0.400791,100,8,16,14,15,227
4.260671,2.691365,100,9,1,2,3,231
2.6427,2.721981,100,9,1,3,4,235
1.991399,2.692649,100,9,1,4,5,239
2.087875,2.735934,100,9,1,5,6,243
2.50675,2.743304,100,9,1,6,7,247
3.985628,2.715844,100,9,1,7,8,251
3.456585,-0.337938,100,9,1,10,11,255
2.280134,-0.370439,100,9,1,11,12,3
1.991136,-0.448876,100,9,1,12,13,7
2.506669,-0.398189,100,9,1,13,14,11
4.317285,-0.396901,100,9,1,14,15,15
5.155216,-0.391124,100,9,1,15,16,19
4.074164,2.692355,100,10,2,3,4,23
2.361008,2.689237,100,10,2,4,5,27
2.087257,2.736168,100,10,2,5,6,31
2.087325,2.736068,100,10,2,6,7,35
2.500955,2.70652,100,10,2,7,8,39
3.639563,2.79701,100,10,2,8,9,43
3.713099,-0.397332,100,10,2,11,12,47
2.268303,-0.451687,100,10,2,12,13,51
2.279607,-0.370404,100,10,2,13,14,55
3.444843,-0.364403,100,10,2,14,15,59
3.629315,-0.369854,100,10,2,15,16,63
3.707455,-0.422002,100,11,3,1,2,67
3.703987,2.644637,100,11,3,4,5,71
2.501124,2.706652,100,11,3,5,6,75
2.179839,2.733375,100,11,3,6,7,79
2.175975,2.690806,100,11,3,7,8,83
2.396867,2.844172,100,11,3,8,9,87
4.211939,2.658512,100,11,3,9,10,91
3.61476,-0.420855,100,11,3,12,13,95
2.422886,-0.357184,100,11,3,13,14,99
3.261172,-0.358268,100,11,3,14,15,103
3.261172,-0.358268,100,11,3,15,16,107
2.229098,-0.389083,100,12,4,1,2,111
3.62032,-0.395353,100,12,4,2,3,115
4.257543,2.669468,100,12,4,5,6,119
2.641477,2.722051,100,12,4,6,7,123
2.175541,2.690741,100,12,4,7,8,127
2.016134,2.830843,100,12,4,8,9,131
2.733908,2.618664,100,12,4,9,10,135
3.771557,2.780125,100,12,4,10,11,139
3.720676,-0.372456,100,12,4,13,14,143
3.547416,-0.341297,100,12,4,14,15,147
3.455673,-0.337803,100,12,4,15,16,151
2.003611,-0.356433,100,13,5,1,2,155
2.408457,-0.43365,100,13,5,2,3,159
4.082294,-0.404016,100,13,5,3,4,163
3.984577,2.715978,100,13,5,6,7,167
2.545945,2.68768,100,13,5,7,8,171
2.016335,2.830875,100,13,5,8,9,175
2.321506,2.58967,100,13,5,9,10,179
2.422645,2.784377,100,13,5,10,11,183
4.125616,2.725621,100,13,5,11,12,187
4.927702,-0.378031,100,13,5,14,15,191
4.283047,-0.363822,100,13,5,15,16,195
2.275599,-0.371083,100,14,6,1,2,199
2.087949,-0.405427,100,14,6,2,3,203
2.41499,-0.395159,100,14,6,3,4,207
3.520185,-0.445753,100,14,6,4,5,211
3.88951,2.66943,100,14,6,7,8,215
2.331562,2.788827,100,14,6,8,9,219
2.322275,2.589667,100,14,6,9,10,223
2.055946,2.805025,100,14,6,10,11,227
2.824251,2.685857,100,14,6,11,12,231
4.677803,2.69906,100,14,6,12,13,235
6.564141,-0.366143,100,14,6,15,16,239
3.296806,-0.401528,100,15,7,1,2,243
2.458514,-0.415555,100,15,7,2,3,247
2.27373,-0.411149,100,15,7,3,4,251
2.32297,-0.392168,100,15,7,4,5,255
3.943924,-0.41341,100,15,7,5,6,3
3.709543,2.719553,100,15,7,8,9,7
2.557887,2.578967,100,15,7,9,10,11
1.873368,2.818516,100,15,7,10,11,15
2.224878,2.711237,100,15,7,11,12,19
3.105975,2.624848,100,15,7,12,13,23
5.804102,2.741371,100,15,7,13,14,27
4.929334,-0.378034,100,16,8,1,2,31
2.975838,-0.37875,100,16,8,2,3,35
