BIOZ1_MAG,BIOZ1_PHASE,EXC_FREQ_KHZ,EXC_PIN,GND_PIN,SNS_AP_PIN,SNS_AN_PIN,PACKET_NUMBER
2.547124,-0.453983,100,8,16,12,13,162
2.872322,-0.439916,100,8,16,13,14,166
4.133756,-0.393673,100,8,16,14,15,170
3.935175,2.681229,100,9,1,2,3,174
2.734902,2.720169,100,9,1,3,4,178
2.180197,2.605722,100,9,1,4,5,182
2.3165,2.709444,100,9,1,5,6,186
2.823969,2.685825,100,9,1,6,7,190
4.126293,2.725454,100,9,1,7,8,194
3.892754,-0.424676,100,9,1,10,11,198
2.75053,-0.354135,100,9,1,11,12,202
2.546534,-0.453948,100,9,1,12,13,206
2.549898,-0.417636,100,9,1,13,14,210
2.827284,-0.422987,100,9,1,14,15,214
4.182795,-0.383472,100,9,1,15,16,218
4.033732,2.726841,100,10,2,3,4,222
2.457131,2.612989,100,10,2,4,5,226
2.408697,2.707975,100,10,2,5,6,230
2.501204,2.632512,100,10,2,6,7,234
2.823878,2.685924,100,10,2,7,8,238
3.813543,2.766786,100,10,2,8,9,242
4.132387,-0.39367,100,10,2,11,12,246
2.871278,-0.439813,100,10,2,12,13,250
2.549816,-0.417536,100,10,2,13,14,254
2.464096,-0.377999,100,10,2,14,15,2
2.801789,-0.339509,100,10,2,15,16,6
4.219299,-0.417106,100,11,3,1,2,10
3.797531,2.645112,100,11,3,4,5,14
2.735175,2.720201,100,11,3,5,6,18
2.457534,2.612822,100,11,3,6,7,22
2.501615,2.706386,100,11,3,7,8,26
2.607068,2.776069,100,11,3,8,9,30
4.192007,2.780122,100,11,3,9,10,34
4.082833,-0.404083,100,11,3,12,13,38
2.783466,-0.405592,100,11,3,13,14,42
2.464176,-0.378099,100,11,3,14,15,46
2.488651,-0.303921,100,11,3,15,16,50
2.790695,-0.372324,100,12,4,1,2,54
4.082162,-0.403916,100,12,4,2,3,58
4.304359,2.680352,100,12,4,5,6,62
2.875465,2.605073,100,12,4,6,7,66
2.499242,2.6695,100,12,4,7,8,70
2.321506,2.74933,100,12,4,8,9,74
2.647955,2.756963,100,12,4,9,10,78
3.748896,2.657023,100,12,4,10,11,82
4.125338,-0.416104,100,12,4,13,14,86
2.790597,-0.372556,100,12,4,14,15,90
2.487907,-0.304018,100,12,4,15,16,94
2.556021,-0.381433,100,13,5,1,2,98
2.883099,-0.375487,100,13,5,2,3,102
4.416358,-0.377538,100,13,5,3,4,106
4.166297,2.647381,100,13,5,6,7,110
2.776846,2.6696,100,13,5,7,8,114
2.272004,2.730748,100,13,5,8,9,118
2.321506,2.74933,100,13,5,9,10,122
2.549308,2.615009,100,13,5,10,11,126
3.989949,2.739155,100,13,5,11,12,130
4.099051,-0.358942,100,13,5,14,15,134
2.76224,-0.320717,100,13,5,15,16,138
2.508044,-0.362173,100,14,6,1,2,142
2.549308,-0.417601,100,14,6,2,3,146
2.894154,-0.343672,100,14,6,3,4,150
3.796402,-0.472095,100,14,6,4,5,154
4.028156,2.680991,100,14,6,7,8,158
2.549981,2.723857,100,14,6,8,9,162
2.372101,2.76706,100,14,6,9,10,166
2.17998,2.605689,100,14,6,10,11,170
2.556441,2.759993,100,14,6,11,12,174
3.889324,2.645628,100,14,6,12,13,178
4.099591,-0.359009,100,14,6,15,16,182
2.791808,-0.372195,100,15,7,1,2,186
2.506426,-0.39789,100,15,7,2,3,190
2.527438,-0.325117,100,15,7,3,4,194
2.592323,-0.472028,100,15,7,4,5,198
4.09112,-0.381535,100,15,7,5,6,202
3.845209,2.705626,100,15,7,8,9,206
2.599102,2.741004,100,15,7,9,10,210
2.229915,2.586456,100,15,7,10,11,214
2.229915,2.752738,100,15,7,11,12,218
2.549816,2.724056,100,15,7,12,13,222
4.034134,2.726873,100,15,7,13,14,226
4.141087,-0.371347,100,16,8,1,2,230
2.833151,-0.390475,100,16,8,2,3,234
2.526853,-0.325082,100,16,8,3,4,238
2.314649,-0.472128,100,16,8,4,5,242
2.791251,-0.37226,100,16,8,5,6,246
4.082976,-0.403852,100,16,8,6,7,250
4.224833,2.746436,100,16,8,9,10,254
2.506507,2.595725,100,16,8,10,11,2
2.321737,2.749362,100,16,8,11,12,6
2.272303,2.730681,100,16,8,12,13,10
2.686501,2.704034,100,16,8,13,14,14
3.998255,2.762321,100,16,8,14,15,18
4.184046,-0.383375,100,1,9,2,3,22
2.855295,-0.325547,100,1,9,3,4,26
2.362102,-0.491636,100,1,9,4,5,30
2.557377,-0.381371,100,1,9,5,6,34
2.792266,-0.372362,100,1,9,6,7,38
4.312753,-0.418319,100,1,9,7,8,42
3.757991,2.607912,100,1,9,10,11,46
2.594919,2.705161,100,1,9,11,12,50
2.273356,2.73061,100,1,9,12,13,54
2.362178,2.689068,100,1,9,13,14,58
2.741984,2.754006,100,1,9,14,15,62
4.050323,2.772544,100,1,9,15,16,66
4.205051,-0.339547,100,2,10,3,4,70
2.640065,-0.454688,100,2,10,4,5,74
2.557543,-0.38157,100,2,10,5,6,78
2.50725,-0.398224,100,2,10,6,7,82
2.833998,-0.390378,100,2,10,7,8,86
3.89942,-0.400855,100,2,10,8,9,90
4.121156,2.680765,100,2,10,11,12,94
2.550489,2.723921,100,2,10,12,13,98
2.361866,2.689135,100,2,10,13,14,102
2.322507,2.74936,100,2,10,14,15,106
2.699859,2.772611,100,2,10,15,16,110
4.04157,2.749617,100,3,11,1,2,114
3.890613,-0.448358,100,3,11,4,5,118
2.93499,-0.361406,100,3,11,5,6,122
2.599788,-0.400723,100,3,11,6,7,126
2.557377,-0.381371,100,3,11,7,8,130
2.741622,-0.387519,100,3,11,8,9,134
4.19326,-0.361374,100,3,11,9,10,138
3.894306,2.621879,100,3,11,12,13,142
2.687124,2.703999,100,3,11,13,14,146
2.317192,2.709541,100,3,11,14,15,150
2.415146,2.746234,100,3,11,15,16,154
2.69208,2.738187,100,4,12,1,2,158
3.991926,2.738985,100,4,12,2,3,162
4.602659,-0.381635,100,4,12,5,6,166
2.975934,-0.37885,100,4,12,6,7,170
2.648917,-0.384732,100,4,12,7,8,174
2.464667,-0.378034,100,4,12,8,9,178
2.802438,-0.339544,100,4,12,9,10,182
3.9855,-0.518606,100,4,12,10,11,186
3.935567,2.681262,100,4,12,13,14,190
2.594318,2.705196,100,4,12,14,15,194
2.365023,2.728221,100,4,12,15,16,198
2.36573,2.728318,100,5,13,1,2,202
2.735536,2.720134,100,5,13,2,3,206
4.296163,2.799033,100,5,13,3,4,210
4.312033,-0.418483,100,5,13,6,7,214
2.876511,-0.407768,100,5,13,7,8,218
2.464747,-0.378134,100,5,13,8,9,222
2.435799,-0.319446,100,5,13,9,10,226
2.735086,-0.522899,100,5,13,10,11,230
4.126982,-0.415975,100,5,13,11,12,234
3.982669,2.692749,100,5,13,14,15,238
2.642615,2.72208,100,5,13,15,16,242
2.316961,2.709508,100,6,14,1,2,246
2.365647,2.728086,100,6,14,2,3,250
2.672008,2.826032,100,6,14,3,4,254
3.750764,2.681875,100,6,14,4,5,2
4.176448,-0.405495,100,6,14,7,8,6
2.741622,-0.387519,100,6,14,8,9,10
2.489147,-0.303856,100,6,14,9,10,14
2.409735,-0.510473,100,6,14,10,11,18
2.784299,-0.405495,100,6,14,11,12,22
4.168642,-0.449812,100,6,14,12,13,26
4.034939,2.726938,100,6,14,15,16,30
2.635522,2.721211,100,7,15,1,2,34
2.355685,2.688397,100,7,15,2,3,38
2.32546,2.788089,100,7,15,3,4,42
2.449161,2.649856,100,7,15,4,5,46
3.949532,2.75163,100,7,15,5,6,50
4.092752,-0.381406,100,7,15,8,9,54
2.803737,-0.339614,100,7,15,9,10,58
2.410449,-0.510708,100,7,15,10,11,62
2.465563,-0.378137,100,7,15,11,12,66
2.692617,-0.403341,100,7,15,12,13,70
4.168777,-0.449912,100,7,15,13,14,74
3.972119,2.692111,100,8,16,1,2,78
2.679739,2.703328,100,8,16,2,3,82
2.371628,2.766996,100,8,16,3,4,86
2.17713,2.648321,100,8,16,4,5,90
2.643491,2.722078,100,8,16,5,6,94
4.035732,2.726671,100,8,16,6,7,98
4.165309,-0.327188,100,8,16,9,10,102
2.687565,-0.506699,100,8,16,10,11,106
2.464992,-0.378101,100,8,16,11,12,110
2.464992,-0.378101,100,8,16,12,13,114
2.876798,-0.407736,100,8,16,13,14,118
4.176864,-0.405463,100,8,16,14,15,122
4.030012,2.703835,100,9,1,2,3,126
2.699408,2.772447,100,9,1,3,4,130
2.180197,2.605722,100,9,1,4,5,134
2.409014,2.707908,100,9,1,5,6,138
2.734814,2.720269,100,9,1,6,7,142
4.132798,2.747955,100,9,1,7,8,146
4.027353,-0.483654,100,9,1,10,11,150
