BIOZ1_MAG,BIOZ1_PHASE,EXC_FREQ_KHZ,EXC_PIN,GND_PIN,SNS_AP_PIN,SNS_AN_PIN,PACKET_NUMBER,FREQUENCY KHZ
0.795142,-3.133959,1,10,2,5,6,244,1
0.767596,3.109319,1,10,2,6,7,247,1
1.061201,3.130658,1,10,2,7,8,250,1
1.621309,3.131597,1,10,2,8,9,253,1
1.91523,-0.001508,1,10,2,11,12,0,1
1.12006,-0.00804,1,10,2,12,13,3,1
1.002432,-0.014192,1,10,2,13,14,6,1
1.002553,-0.014257,1,10,2,14,15,9,1
1.11998,-0.008019,1,10,2,15,16,12,1
1.797721,-0.00462,1,10,2,16,1,15,1
1.797371,-0.004487,1,11,3,1,2,18,1
1.680128,3.133577,1,11,3,4,5,21,1
1.030551,-3.125499,1,11,3,5,6,24,1
0.898954,-0.004936,1,11,3,6,7,27,1
0.943629,3.123782,1,11,3,7,8,30,1
1.061251,3.13066,1,11,3,8,9,33,1
1.856336,3.138667,1,11,3,9,10,36,1
1.887393,-0.017831,1,11,3,12,13,39,1
1.119976,-0.007925,1,11,3,13,14,42,1
1.016615,0.000886,1,11,3,14,15,45,1
0.943675,-0.017855,1,11,3,15,16,48,1
1.120033,-0.008017,1,11,3,16,1,51,1
1.178599,-0.005354,1,12,4,1,2,54,1
1.797463,-0.004579,1,12,4,2,3,57,1
1.85607,3.138708,1,12,4,5,6,60,1
1.120033,3.133575,1,12,4,6,7,63,1
0.943675,3.123738,1,12,4,7,8,66,1
0.883501,-3.130385,1,12,4,8,9,69,1
0.971668,-3.127278,1,12,4,9,10,72,1
1.679974,3.133526,1,12,4,10,11,75,1
1.91487,-0.001517,1,12,4,13,14,78,1
1.178799,-0.005464,1,12,4,14,15,81,1
0.971716,0.01427,1,12,4,15,16,84,1
0.928277,-0.002769,1,12,4,16,1,87,1
1.030306,0.016131,1,13,5,1,2,90,1
1.061099,-0.010892,1,13,5,2,3,93,1
2.091259,0.00247,1,13,5,3,4,96,1
1.679891,3.133571,1,13,5,6,7,99,1
1.061049,3.130699,1,13,5,7,8,102,1
0.853983,-3.131384,1,13,5,8,9,105,1
0.767356,3.10947,1,13,5,9,10,108,1
1.002311,3.127466,1,13,5,10,11,111,1
1.707767,-3.131412,1,13,5,11,12,114,1
1.856211,-0.002999,1,13,5,14,15,117,1
1.119815,-0.007885,1,13,5,15,16,120,1
0.928167,-0.002704,1,13,5,16,1,123,1
1.029657,0.016526,1,14,6,1,2,126,1
0.884542,-0.0216,1,14,6,2,3,129,1
1.147734,0.019333,1,14,6,3,4,132,1
1.812711,-0.011946,1,14,6,4,5,135,1
1.679475,3.133843,1,14,6,7,8,138,1
1.01632,0.001061,1,14,6,8,9,141,1
0.767315,3.109609,1,14,6,9,10,144,1
0.795141,-3.133912,1,14,6,10,11,147,1
1.002235,3.12758,1,14,6,11,12,150,1
1.738625,3.135467,1,14,6,12,13,153,1
1.85607,-0.002885,1,14,6,15,16,156,1
1.119898,-0.007952,1,14,6,16,1,159,1
1.206673,0.020493,1,15,7,1,2,162,1
0.869299,-0.0058,1,15,7,2,3,165,1
0.912615,0.012492,1,15,7,3,4,168,1
1.16481,-0.018644,1,15,7,4,5,171,1
1.855888,-0.002795,1,15,7,5,6,174,1
1.636603,3.123369,1,15,7,8,9,177,1
0.943536,3.123872,1,15,7,9,10,180,1
0.810654,-0.009486,1,15,7,10,11,183,1
0.85388,-3.131318,1,15,7,11,12,186,1
0.971618,-3.127186,1,15,7,12,13,189,1
1.769684,3.119772,1,15,7,13,14,192,1
1.811521,0.003937,1,15,7,16,1,195,1
1.769431,-0.02178,1,16,8,1,2,198,1
1.045655,0.002594,1,16,8,2,3,201,1
0.912615,0.012492,1,16,8,3,4,204,1
0.971553,0.014333,1,16,8,4,5,207,1
1.178478,-0.00517,1,16,8,5,6,210,1
1.797419,-0.004557,1,16,8,6,7,213,1
1.85607,3.138708,1,16,8,9,10,216,1
1.002358,3.127468,1,16,8,10,11,219,1
0.826086,3.114984,1,16,8,11,12,222,1
0.826147,3.114916,1,16,8,12,13,225,1
1.178536,3.136378,1,16,8,13,14,228,1
1.738593,3.135348,1,16,8,14,15,231,1
1.761798,-0.002534,2,1,9,2,3,132,2
1.173001,0.009291,2,1,9,3,4,135,2
0.878687,0.020938,2,1,9,4,5,138,2
0.961686,0.029424,2,1,9,5,6,141,2
1.17299,0.009088,2,1,9,6,7,144,2
1.885932,0.005332,2,1,9,7,8,147,2
1.849727,3.121955,2,1,9,10,11,150,2
1.136984,3.110544,2,1,9,11,12,153,2
0.924849,3.122087,2,1,9,12,13,156,2
1.010469,3.113066,2,1,9,13,14,159,2
1.095739,3.104833,2,1,9,14,15,162,2
1.80845,3.118909,2,1,9,15,16,165,2
1.84464,0.002945,2,2,10,3,4,168,2
1.048856,-0.003299,2,2,10,4,5,171,2
1.007498,-0.008126,2,2,10,5,6,174,2
1.048884,-0.003531,2,2,10,6,7,177,2
1.131722,0.005248,2,2,10,7,8,180,2
1.761946,-0.00239,2,2,10,8,9,183,2
1.849835,3.122029,2,2,10,11,12,186,2
1.054634,3.099034,2,2,10,12,13,189,2
0.966193,3.127987,2,2,10,13,14,192,2
0.863056,3.11213,2,2,10,14,15,195,2
1.048884,3.138062,2,2,10,15,16,198,2
1.767309,3.115726,2,2,10,16,1,201,2
1.725941,3.112438,2,3,11,1,2,204,2
1.679238,-0.008222,2,3,11,4,5,207,2
1.173091,0.009501,2,3,11,5,6,210,2
1.007529,-0.008391,2,3,11,6,7,213,2
1.003206,0.032889,2,3,11,7,8,216,2
1.088237,0.020272,2,3,11,8,9,219,2
1.968859,0.010112,2,3,11,9,10,222,2
1.55538,3.123309,2,3,11,12,13,225,2
1.136958,3.110743,2,3,11,13,14,228,2
0.924907,3.122128,2,3,11,14,15,231,2
0.883713,3.115734,2,3,11,15,16,234,2
1.095787,3.10504,2,3,11,16,1,237,2
1.054548,3.099158,2,4,12,1,2,240,2
1.74654,3.11421,2,4,12,2,3,243,2
1.927269,0.008017,2,4,12,5,6,246,2
1.131621,0.005439,2,4,12,6,7,249,2
1.007447,-0.008266,2,4,12,7,8,252,2
0.920058,0.02562,2,4,12,8,9,255,2
1.214399,0.013143,2,4,12,9,10,2,2
1.844518,0.002938,2,4,12,10,11,5,2
1.8085,3.119248,2,4,12,13,14,8,2
1.095722,3.104966,2,4,12,14,15,11,2
0.883531,3.115777,2,4,12,15,16,14,2
0.883572,3.11595,2,4,12,16,1,17,2
0.883517,3.115909,2,5,13,1,2,20,2
1.136807,3.110728,2,5,13,2,3,23,2
1.932086,3.12817,2,5,13,3,4,26,2
1.927299,0.007884,2,5,13,6,7,29,2
1.131458,0.005523,2,5,13,7,8,32,2
0.920065,0.025553,2,5,13,8,9,35,2
1.048705,-0.003216,2,5,13,9,10,38,2
1.214207,0.013058,2,5,13,10,11,41,2
1.802871,0.000446,2,5,13,11,12,44,2
1.767113,3.115814,2,5,13,14,15,47,2
1.054487,3.099085,2,5,13,15,16,50,2
0.88351,3.115975,2,5,13,16,1,53,2
0.883593,3.116322,2,6,14,1,2,56,2
0.966085,3.128376,2,6,14,2,3,59,2
1.136927,3.110975,2,6,14,3,4,62,2
1.684686,3.109122,2,6,14,4,5,65,2
1.761846,-0.002195,2,6,14,7,8,68,2
1.090116,0.001543,2,6,14,8,9,71,2
1.048742,-0.002943,2,6,14,9,10,74,2
1.048789,-0.003039,2,6,14,10,11,77,2
1.131511,0.005696,2,6,14,11,12,80,2
1.632943,0.014081,2,6,14,12,13,83,2
1.80838,3.11924,2,6,14,15,16,86,2
1.054532,3.099291,2,6,14,16,1,89,2
1.051629,3.119036,2,7,15,1,2,92,2
0.966164,3.128251,2,7,15,2,3,95,2
0.966092,3.12831,2,7,15,3,4,98,2
1.054532,3.099291,2,7,15,4,5,101,2
1.890847,3.125659,2,7,15,5,6,104,2
1.7203,-0.004969,2,7,15,8,9,107,2
1.214349,0.013206,2,7,15,9,10,110,2
1.048774,-0.003208,2,7,15,10,11,113,2
0.9616,0.029615,2,7,15,11,12,116,2
1.048689,-0.003083,2,7,15,12,13,119,2
1.803047,0.00076,2,7,15,13,14,122,2
1.808261,3.119232,2,7,15,16,1,125,2
1.7258,3.112562,2,8,16,1,2,128,2
1.13679,3.11086,2,8,16,2,3,131,2
0.972292,3.085814,2,8,16,3,4,134,2
0.924783,3.122415,2,8,16,4,5,137,2
0.972349,3.085888,2,8,16,5,6,140,2
1.849656,3.122286,2,8,16,6,7,143,2
1.927255,0.008083,2,8,16,9,10,146,2
1.21434,0.013272,2,8,16,10,11,149,2
0.963842,0.008199,2,8,16,11,12,152,2
0.924821,-0.01924,2,8,16,12,13,155,2
1.048673,-0.002951,2,8,16,13,14,158,2
1.885867,0.00563,2,8,16,14,15,161,2
1.725317,3.112664,2,9,1,2,3,164,2
1.115886,3.108176,2,9,1,3,4,167,2
0.93111,3.078062,2,9,1,4,5,170,2
0.96575,3.12847,2,9,1,5,6,173,2
1.048497,3.138354,2,9,1,6,7,176,2
2.019752,3.113095,2,9,1,7,8,179,2
1.843776,0.003226,2,9,1,10,11,182,2
1.131137,0.005658,2,9,1,11,12,185,2
0.919808,0.025655,2,9,1,12,13,188,2
0.836889,0.016845,2,9,1,13,14,191,2
1.131146,0.005591,2,9,1,14,15,194,2
1.926681,0.008048,2,9,1,15,16,197,2
1.807768,3.119268,2,10,2,3,4,200,2
1.054323,3.099268,2,10,2,4,5,203,2
1.013133,3.092965,2,10,2,5,6,206,2
0.883335,3.115952,2,10,2,6,7,209,2
1.266446,3.092766,2,10,2,7,8,212,2
1.720022,3.136571,2,10,2,8,9,215,2
1.843959,0.003238,2,10,2,11,12,218,2
1.04843,-0.002978,2,10,2,12,13,221,2
0.878328,0.021562,2,10,2,13,14,224,2
0.961345,0.029584,2,10,2,14,15,227,2
1.213938,0.013233,2,10,2,15,16,230,2
1.802556,0.000795,2,10,2,16,1,233,2
1.766642,-0.025508,2,11,3,1,2,236,2
1.63715,3.130464,2,11,3,4,5,239,2
1.177725,3.116349,2,11,3,5,6,242,2
0.968943,3.106965,2,11,3,6,7,245,2
1.048481,3.138486,2,11,3,7,8,248,2
1.095382,3.105332,2,11,3,8,9,251,2
1.972955,3.131075,2,11,3,9,10,254,2
1.632479,0.014215,2,11,3,12,13,1,2
1.131186,0.005864,2,11,3,13,14,4,2
0.919875,0.025596,2,11,3,14,15,7,2
1.048481,-0.003106,2,11,3,15,16,10,2
1.048499,-0.00297,2,11,3,16,1,13,2
1.131137,0.005658,2,12,4,1,2,16,2
1.761133,-0.002175,2,12,4,2,3,19,2
1.890221,3.125621,2,12,4,5,6,22,2
1.177693,3.11601,2,12,4,6,7,25,2
1.054191,3.099186,2,12,4,7,8,28,2
0.924493,3.122512,2,12,4,8,9,31,2
1.13648,3.110895,2,12,4,9,10,34,2
1.766453,3.116139,2,12,4,10,11,37,2
1.760976,-0.001984,2,12,4,13,14,40,2
1.131137,0.005658,2,12,4,14,15,43,2
1.048403,-0.003048,2,12,4,15,16,46,2
0.878293,0.021624,2,12,4,16,1,49,2
1.007,-0.007916,2,13,5,1,2,52,2
1.172424,0.00977,2,13,5,2,3,55,2
1.972664,-0.010401,2,13,5,3,4,58,2
1.766278,3.116127,2,13,5,6,7,61,2
1.218737,3.121024,2,13,5,7,8,64,2
0.883132,3.116193,2,13,5,8,9,67,2
0.924425,3.12257,2,13,5,9,10,70,2
1.218746,3.120958,2,13,5,10,11,73,2
1.766237,3.116326,2,13,5,11,12,76,2
1.781657,-0.000652,2,13,5,14,15,79,2
1.213848,0.013292,2,13,5,15,16,82,2
0.87827,0.021554,2,13,5,16,1,85,2
1.002793,0.032975,2,14,6,1,2,88,2
1.002777,0.033107,2,14,6,2,3,91,2
1.172516,0.009678,2,14,6,3,4,94,2
1.678471,-0.00804,2,14,6,4,5,97,2
1.89028,3.125356,2,14,6,7,8,100,2
1.054167,3.099385,2,14,6,8,9,103,2
0.924486,3.122578,2,14,6,9,10,106,2
1.054167,3.099385,2,14,6,10,11,109,2
1.136471,3.110961,2,14,6,11,12,112,2
1.637137,3.13053,2,14,6,12,13,115,2
1.885185,0.005856,2,14,6,15,16,118,2
1.044229,0.036816,2,14,6,16,1,121,2
1.17244,0.009939,2,15,7,1,2,124,2
0.961252,0.029841,2,15,7,2,3,127,2
1.002731,0.033504,2,15,7,3,4,130,2
1.04844,-0.002776,2,15,7,4,5,133,2
1.843708,0.003825,2,15,7,5,6,136,2
1.725294,3.113064,2,15,7,8,9,139,2
1.136436,3.111226,2,15,7,9,10,142,2
1.054134,3.099649,2,15,7,10,11,145,2
0.965671,3.128594,2,15,7,11,12,148,2
0.930936,3.078509,2,15,7,12,13,151,2
1.807575,3.119892,2,15,7,13,14,154,2
1.843751,0.003627,2,15,7,16,1,157,2
1.760962,-0.001918,2,16,8,1,2,160,2
1.172406,0.009902,2,16,8,2,3,163,2
1.006977,-0.007717,2,16,8,3,4,166,2
0.878257,0.021686,2,16,8,4,5,169,2
1.002649,0.033629,2,16,8,5,6,172,2
1.802325,0.000746,2,16,8,6,7,175,2
1.978352,3.110381,2,16,8,9,10,178,2
1.218727,3.12109,2,16,8,10,11,181,2
0.965647,3.128524,2,16,8,11,12,184,2
0.759743,3.093016,2,16,8,12,13,187,2
1.136352,3.111284,2,16,8,13,14,190,2
1.84885,3.12257,2,16,8,14,15,193,2
1.808194,-0.005516,4,1,9,2,3,94,4
1.161641,-0.002974,4,1,9,3,4,97,4
0.849446,0.05324,4,1,9,4,5,100,4
0.849375,0.053837,4,1,9,5,6,103,4
1.20212,0.005334,4,1,9,6,7,106,4
1.98,-0.004741,4,1,9,7,8,109,4
1.779184,3.107497,4,1,9,10,11,112,4
1.053626,3.070413,4,1,9,11,12,115,4
0.921908,3.070477,4,1,9,12,13,118,4
1.00132,3.097418,4,1,9,13,14,121,4
1.04119,3.108159,4,1,9,14,15,124,4
1.831071,3.092057,4,1,9,15,16,127,4
1.84854,0.000402,4,2,10,3,4,130,4
1.030334,0.006077,4,2,10,4,5,133,4
0.899056,0.017927,4,2,10,5,6,136,4
0.98025,0.036639,4,2,10,6,7,139,4
1.070789,0.015236,4,2,10,7,8,142,4
1.757742,0.011905,4,2,10,8,9,145,4
1.779322,3.107999,4,2,10,11,12,148,4
1.132896,3.094133,4,2,10,12,13,151,4
0.961503,3.084999,4,2,10,13,14,154,4
0.921923,3.070413,4,2,10,14,15,157,4
1.172842,3.104318,4,2,10,15,16,160,4
1.687538,3.117786,4,2,10,16,1,163,4
1.699454,3.094149,4,3,11,1,2,166,4
1.717363,0.006029,4,3,11,4,5,169,4
1.151906,0.033065,4,3,11,5,6,172,4
0.939748,0.027127,4,3,11,6,7,175,4
0.899075,0.017038,4,3,11,7,8,178,4
1.030418,0.006029,4,3,11,8,9,181,4
1.888946,0.006077,4,3,11,9,10,184,4
1.687731,3.117609,4,3,11,12,13,187,4
1.133095,3.094522,4,3,11,13,14,190,4
0.921967,3.070494,4,3,11,14,15,193,4
0.921996,3.07064,4,3,11,15,16,196,4
1.001305,3.097207,4,3,11,16,1,199,4
0.961505,3.084725,4,4,12,1,2,202,4
1.739163,3.10124,4,4,12,2,3,205,4
1.88866,0.006933,4,4,12,5,6,208,4
1.111312,0.024047,4,4,12,6,7,211,4
0.898958,0.017279,4,4,12,7,8,214,4
0.818148,-0.005962,4,4,12,8,9,217,4
1.201977,0.006335,4,4,12,9,10,220,4
1.939467,-0.00937,4,4,12,10,11,223,4
1.779227,3.108742,4,4,12,13,14,226,4
1.132969,3.094149,4,4,12,14,15,229,4
0.921949,3.071108,4,4,12,15,16,232,4
0.790203,3.071302,4,4,12,16,1,235,4
0.82979,3.087302,4,5,13,1,2,238,4
1.132857,3.094537,4,5,13,2,3,241,4
1.910636,3.105819,4,5,13,3,4,244,4
1.939406,-0.009515,4,5,13,6,7,247,4
1.0707,0.015559,4,5,13,7,8,250,4
0.808606,0.043882,4,5,13,8,9,253,4
1.030232,0.006464,4,5,13,9,10,0,4
0.980168,0.037237,4,5,13,10,11,3,4
1.848384,0.001,4,5,13,11,12,6,4
1.779151,3.107837,4,5,13,14,15,9,4
1.13284,3.094326,4,5,13,15,16,12,4
0.777973,3.122153,4,5,13,16,1,15,4
0.79024,3.071383,4,6,14,1,2,18,4
0.90965,3.114769,4,6,14,2,3,21,4
1.08121,3.120108,4,6,14,3,4,24,4
1.647544,3.111345,4,6,14,4,5,27,4
1.808215,-0.004756,4,6,14,7,8,30,4
1.03023,0.006739,4,6,14,8,9,33,4
1.030279,0.00682,4,6,14,9,10,36,4
0.808643,0.044238,4,6,14,10,11,39,4
1.151868,0.033194,4,6,14,11,12,42,4
1.757564,0.012567,4,6,14,12,13,45,4
1.830941,3.093139,4,6,14,15,16,48,4
0.921884,3.071916,4,6,14,16,1,51,4
0.961438,3.085532,4,7,15,1,2,54,4
0.92184,3.071834,4,7,15,2,3,57,4
0.829814,3.087723,4,7,15,3,4,60,4
0.869591,3.101999,4,7,15,4,5,63,4
1.739089,3.102742,4,7,15,5,6,66,4
1.757506,0.012696,4,7,15,8,9,69,4
1.20205,0.006901,4,7,15,9,10,72,4
0.818186,-0.005606,4,7,15,10,11,75,4
0.98996,-0.003513,4,7,15,11,12,78,4
1.242457,0.014885,4,7,15,12,13,81,4
1.8889,0.007241,4,7,15,13,14,84,4
1.687638,3.118627,4,7,15,16,1,87,4
1.779112,3.108726,4,8,16,1,2,90,4
1.093068,3.083526,4,8,16,2,3,93,4
0.829722,3.08735,4,8,16,3,4,96,4
0.698102,3.090361,4,8,16,4,5,99,4
1.172773,3.105885,4,8,16,5,6,102,4
