BIOZ1_MAG,BIOZ1_PHASE,EXC_FREQ_KHZ,EXC_PIN,GND_PIN,SNS_AP_PIN,SNS_AN_PIN,PACKET_NUMBER,FREQUENCY KHZ
3.341612,-0.002185,1,1,9,2,3,253,1
2.114261,0.021331,1,1,9,3,4,0,1
1.124234,-0.0105,1,1,9,4,5,3,1
0.916415,0.009769,1,1,9,5,6,6,1
1.124234,-0.0105,1,1,9,6,7,9,1
1.761063,-0.016695,1,1,9,7,8,12,1
1.568279,3.127083,1,1,9,10,11,15,1
1.065311,3.12811,1,1,9,11,12,18,1
0.916347,-3.131756,1,1,9,12,13,21,1
0.96136,-0.004343,1,1,9,13,14,24,1
1.509292,3.124871,1,1,9,14,15,27,1
2.795201,3.136051,1,1,9,15,16,30,1
4.292367,-0.019951,1,2,10,3,4,33,1
1.508459,0.002792,1,2,10,4,5,36,1
1.093692,0.015022,1,2,10,5,6,39,1
1.065462,-0.013477,1,2,10,6,7,42,1
1.065385,-0.013456,1,2,10,7,8,45,1
1.596826,0.005001,1,2,10,8,9,48,1
1.686517,3.131002,1,2,10,11,12,51,1
0.961566,-0.004357,1,2,10,12,13,54,1
0.829427,3.112278,1,2,10,13,14,57,1
1.124426,3.130982,1,2,10,14,15,60,1
1.804546,3.134539,1,2,10,15,16,63,1
3.255397,3.129123,1,2,10,16,1,66,1
2.692325,3.128782,1,3,11,1,2,69,1
2.056025,-0.008205,1,3,11,4,5,72,1
1.301165,-0.003344,1,3,11,5,6,75,1
1.124315,-0.01052,1,3,11,6,7,78,1
0.975407,0.01179,1,3,11,7,8,81,1
1.034519,0.013522,1,3,11,8,9,84,1
1.922142,-0.003996,1,3,11,9,10,87,1
1.537366,-3.138001,1,3,11,12,13,90,1
0.88821,3.117104,1,3,11,13,14,93,1
0.888298,3.117013,1,3,11,14,15,96,1
1.301101,3.138294,1,3,11,15,16,99,1
1.953456,3.123072,1,3,11,16,1,102,1
1.744866,3.13286,1,4,12,1,2,105,1
1.804168,3.13446,1,4,12,2,3,108,1
2.039899,-0.001379,1,4,12,5,6,111,1
1.301138,-0.003416,1,4,12,6,7,114,1
0.975178,0.011732,1,4,12,7,8,117,1
0.902216,-0.0074,1,4,12,8,9,120,1
1.093329,0.015055,1,4,12,9,10,123,1
1.700231,-0.001496,1,4,12,10,11,126,1
1.477973,-3.1395,1,4,12,13,14,129,1
0.947151,3.121181,1,4,12,14,15,132,1
1.065031,3.12817,1,4,12,15,16,135,1
1.478189,-3.139588,1,4,12,16,1,138,1
1.508784,3.124999,1,5,13,1,2,141,1
1.346063,3.128657,1,5,13,2,3,144,1
1.685708,3.131172,1,5,13,3,4,147,1
1.803824,-0.007094,1,5,13,6,7,150,1
1.093118,0.015141,1,5,13,7,8,153,1
0.872525,-0.008472,1,5,13,8,9,156,1
0.946898,-0.020257,1,5,13,9,10,159,1
1.123969,-0.01051,1,5,13,10,11,162,1
1.862775,-0.005466,1,5,13,11,12,165,1
1.597628,-0.013386,1,5,13,14,15,168,1
1.12386,3.131126,1,5,13,15,16,171,1
1.31652,3.127693,1,5,13,16,1,174,1
1.47818,-3.139447,1,6,14,1,2,177,1
1.271968,-0.004398,1,6,14,2,3,180,1
1.065031,3.12817,1,6,14,3,4,183,1
1.360092,3.140242,1,6,14,4,5,186,1
1.803857,-0.006975,1,6,14,7,8,189,1
1.006075,-0.016703,1,6,14,8,9,192,1
0.947034,-0.020298,1,6,14,9,10,195,1
0.975245,0.011806,1,6,14,10,11,198,1
1.093221,0.015145,1,6,14,11,12,201,1
1.818151,0.001357,1,6,14,12,13,204,1
1.626887,3.129173,1,6,14,15,16,207,1
1.360125,3.140219,1,6,14,16,1,210,1
1.744616,3.132902,1,7,15,1,2,213,1
1.391078,3.119876,1,7,15,2,3,216,1
0.946945,3.121291,1,7,15,3,4,219,1
0.82915,3.112359,1,7,15,4,5,222,1
1.418951,-3.141164,1,7,15,5,6,225,1
1.627117,-0.012414,1,7,15,8,9,228,1
1.12386,-0.010466,1,7,15,9,10,231,1
1.006004,-0.01673,1,7,15,10,11,234,1
0.975083,0.011823,1,7,15,11,12,237,1
1.138203,0.002966,1,7,15,12,13,240,1
1.921779,-0.004004,1,7,15,13,14,243,1
1.80395,3.134525,1,7,15,16,1,246,1
2.542954,3.137141,1,8,16,1,2,249,1
1.833767,3.135193,1,8,16,2,3,252,1
1.214322,3.110628,1,8,16,3,4,255,1
0.79817,-3.136675,1,8,16,4,5,2,1
0.82923,3.112315,1,8,16,5,6,5,1
1.568211,3.126987,1,8,16,6,7,8,1
1.92215,-0.004091,1,8,16,9,10,11,1
1.124158,-0.010574,1,8,16,10,11,14,1
0.975271,0.011736,1,8,16,11,12,17,1
1.006196,-0.016769,1,8,16,12,13,20,1
1.242034,-0.005602,1,8,16,13,14,23,1
2.189266,-0.012017,1,8,16,14,15,26,1
3.194489,3.128162,1,9,1,2,3,29,1
1.899455,3.090205,1,9,1,3,4,32,1
1.00586,3.124904,1,9,1,4,5,35,1
0.85701,-3.134039,1,9,1,5,6,38,1
1.093122,-3.126546,1,9,1,6,7,41,1
1.729403,-0.000614,1,9,1,7,8,44,1
1.685632,-0.01047,1,9,1,10,11,47,1
1.064858,-0.013501,1,9,1,11,12,50,1
0.946855,-0.020306,1,9,1,12,13,53,1
1.020066,-0.001635,1,9,1,13,14,56,1
1.477834,0.002089,1,9,1,14,15,59,1
2.750677,-0.011689,1,9,1,15,16,62,1
3.544302,-3.099521,1,10,2,3,4,65,1
1.391147,3.11983,1,10,2,4,5,68,1
1.034228,-3.12813,1,10,2,5,6,71,1
1.065035,3.128075,1,10,2,6,7,74,1
1.006004,3.124863,1,10,2,7,8,77,1
1.509115,3.124842,1,10,2,8,9,80,1
1.773223,0.008705,1,10,2,11,12,83,1
1.020167,-0.001679,1,10,2,12,13,86,1
0.916088,0.009825,1,10,2,13,14,89,1
1.093358,0.014985,1,10,2,14,15,92,1
1.862959,-0.005557,1,10,2,15,16,95,1
3.297605,-0.007286,1,10,2,16,1,98,1
2.868369,-0.009388,1,11,3,1,2,101,1
1.996308,3.131864,1,11,3,4,5,104,1
1.300796,3.138237,1,11,3,5,6,107,1
1.12384,3.131007,1,11,3,6,7,110,1
0.916001,-3.131772,1,11,3,7,8,113,1
1.049532,1.6e-05,1,11,3,8,9,116,1
1.8626,3.136122,1,11,3,9,10,119,1
1.595957,0.005002,1,11,3,12,13,122,1
0.916001,0.009821,1,11,3,13,14,125,1
0.871524,0.024788,1,11,3,14,15,128,1
1.331872,-0.024455,1,11,3,15,16,131,1
